| bibliografia_titulo | titulo | palavra_chave | assunto | descricao | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Economia Azul | Planejamento Espacial Marinho (PEM) | COI, UNESCO, Alocação, Atividades humanas, Ecológicos, Econômicos, Sociais | Relevância do PEM para a Economia Azul | Processo público de análise e alocação da distribuição espacial e temporal de atividades humanas em áreas marinhas, visando alcançar objetivos ecológicos, econômicos e sociais. | false | |
| Economia Azul | Economia Azul (Conceito) | OECD, Indústrias baseadas no oceano, Serviços ecossistêmicos, Ativos naturais | Relevância do PEM para a Economia Azul | Abrange as indústrias cujas atividades se baseiam no oceano (transporte marítimo, pesca, energia eólica *offshore*, biotecnologia marinha) e os ativos naturais/serviços ecossistêmicos providos pelo mar. | false | |
| Economia Azul | PEM como Motor Propulsor | Segurança jurídica, Investidores, Geração de empregos, ODS 14 | Relevância do PEM para a Economia Azul | Considerado o grande "motor propulsor" da Economia Azul por reduzir incertezas jurídicas para investidores, gerar empregos, estimular atividades sustentáveis no mar e contribuir para o ODS 14 (Vida Marinha) da Agenda 2030. | false | |
| Economia Azul | Conflitos Marinhos | Usuário-usuário, Usuário-ambiente, Mitigação, Serviços ecossistêmicos | Relevância do PEM para a Economia Azul | Conflitos que ocorrem entre usos humanos ou entre usos humanos e o meio ambiente marinho, que enfraquecem a capacidade dos oceanos de fornecer serviços ecossistêmicos essenciais, sendo mitigados pelo PEM. | false | |
| Economia Azul | Princípios do Poder Marítimo | Mahan, Desenvolvimento econômico, Portos seguros, Marinha de guerra, População ligada ao comércio | Relevância do PEM para a Economia Azul | Aspectos geopolíticos, segundo Mahan, que afirmam que os governos devem canalizar esforços para o desenvolvimento econômico (indústria naval), aquisição de "portos seguros" e construção de uma marinha capaz. | false | |
| Economia Azul | Águas Jurisdicionais Brasileiras (AJB) | Jurisdição marítima, 5,7 milhões de km², Amazônia Azul, Recursos vivos e não vivos | Relevância do PEM para a Economia Azul | A área de jurisdição marítima do Brasil, que totaliza 5,7 milhões de km², e que, se bem utilizada, pode otimizar o uso da Economia Azul. | false | |
| Economia Azul | Segurança Jurídica | Investimentos privados, Cessão de áreas, Custos elevados, Prazo de amortização | Relevância do PEM para a Economia Azul | Principal benefício econômico do PEM, que afiança a certeza de acesso e a previsibilidade legal aos investidores (nacionais e internacionais) em empreendimentos de médio/longo prazo no mar. | false | |
| Economia Azul | Domínio do Mar (Dimensões) | Superfície, Submersa, Aérea, Tecnologia, Atividades socioeconômicas | Relevância do PEM para a Economia Azul | As três dimensões do mar (superfície, submersa e aérea) onde o desenvolvimento é impulsionado pela tecnologia para integrar processos naturais e atividades socioeconômicas, como a exploração *offshore*. | false | |
| Economia Azul | Projeto Piloto PEM Sul | Região Sul, Fronteira marítima, Uruguai, CIRM, Mapeamento de Usos | Relevância do PEM para a Economia Azul | Ação do X Plano Setorial para os Recursos do Mar (X PSRM) que prevê a implantação inicial do PEM na região Sul, motivada pela fronteira com o Uruguai e pela representatividade dos ecossistemas e atividades econômicas. | false | |
| Economia Azul | Déficit de Mentalidade Marítima | Conscientização, Decisores governamentais, Poder Marítimo, Interesses nacionais | Relevância do PEM para a Economia Azul | A falta de conscientização da sociedade e dos decisores governamentais sobre a importância do Poder Marítimo, sendo uma deficiência que dificulta o investimento e o projeto estratégico marítimo. | false | |
| Economia Azul | Planejamento Proativo | Gestão orientada para o futuro, Reativo (oposto), Estratégias de gestão | Relevância do PEM para a Economia Azul | Característica do PEM que permite aos governantes **planejar e moldar ações** proativamente, em vez de apenas reagir tardiamente aos conflitos e eventos adversos no ambiente marinho. | false | |
| Economia Azul | Tecnologia e Informação (Mar) | Ciência, Tecnologia e Informação, Potências centrais, Desenvolvimento sustentável, Milton Santos | Relevância do PEM para a Economia Azul | Elementos fundamentais que impulsionam o desenvolvimento das dimensões do mar, sendo que novas técnicas sensíveis estão disponíveis majoritariamente às potências centrais e empresas transnacionais, exigindo investimento para o desenvolvimento sustentável. | false | |
| Economia Azul | Poder Marítimo e Poder Naval | Poder político, econômico, militar, Capacidade de usar o mar, Poder militar | Relevância do PEM para a Economia Azul | O Poder Marítimo é a capacidade política, econômica e militar de uma potência em usar o mar, sendo mais abrangente que o Poder Naval, que é restrito à manifestação militar. | false | |
| Economia Azul | Equívoco de Huxley | Thomas Huxley, 1883, Riquezas inesgotáveis, Recursos do mar | Relevância do PEM para a Economia Azul | Crença histórica, expressa por Thomas Huxley em 1883, de que as riquezas e os recursos do mar são inesgotáveis e que não haveria preocupação com a sustentabilidade de sua exploração. | false | |
| Economia Azul | Serviços Ecossistêmicos | Aprovisionamento, Regulação, Cultural, Apoio, ODS 14 | Relevância do PEM para a Economia Azul | Benefícios múltiplos fornecidos pelos ecossistemas marinhos, incluindo serviços de aprovisionamento (alimentos, água), de regulação (clima, água) e culturais (recreação, turismo). | false | |
| Economia Azul | Amazônia Azul (Definição) | Superfície, Leito, Subsolo, Plataforma Continental, Limite exterior | Relevância do PEM para a Economia Azul | Região que compreende a superfície do mar, águas sobrejacentes ao leito, solo e subsolo marinhos, desde o litoral até o limite exterior da plataforma continental brasileira. | false | |
| Economia Azul | Características do PEM Eficaz | Baseado em ecossistemas, Integrado, Estratégico, Adaptativo, Participativo | Relevância do PEM para a Economia Azul | Dentre as características essenciais para um PEM eficaz, destacam-se ser integrado entre setores, adaptativo (capaz de aprender com a experiência) e estratégico com foco no longo prazo. | false | |
| Economia Azul | PEM Baseado em Ecossistemas | Desenvolvimento sustentável, Metas ecológicas, Metas econômicas, Equilíbrio | Relevância do PEM para a Economia Azul | Característica do PEM que busca o equilíbrio entre metas e objetivos ecológicos, econômicos e sociais em prol do desenvolvimento sustentável. | false | |
| Economia Azul | Processo PEM (10 Passos) | UNESCO, Suporte financeiro, Pré-planejamento, Monitoramento, Adaptação | Relevância do PEM para a Economia Azul | Sequência sistematizada pela UNESCO para a condução do PEM, que não é linear e exige ciclos de *feedback* e adaptação, incluindo a obtenção de suporte financeiro e o monitoramento. | false | |
| Economia Azul | Zoneamento Marinho Isolado | Setor por setor, Conflitos, Sem consideração de impactos | Relevância do PEM para a Economia Azul | Prática na qual a designação de espaços marinhos é feita de forma isolada, setor por setor, sem considerar os impactos para o meio ambiente ou outras atividades humanas. | false | |
| Economia Azul | ODS 14 (Vida Marinha) | Agenda 2030, Vida marinha, Objetivos de Desenvolvimento Sustentável | Relevância do PEM para a Economia Azul | Objetivo da Agenda 2030 da ONU (Objetivo de Desenvolvimento Sustentável 14) que visa a conservação e o uso sustentável dos oceanos, mares e recursos marinhos. | false | |
| Economia Azul | Hot Spots (PEM) | Conflitos, Interação terra-mar, Proteção, Conservação | Relevância do PEM para a Economia Azul | Áreas com maior potencialidade a conflitos na interação terra-mar para uso, proteção e conservação, exigindo maior atenção e intervenções dos gestores. | false | |
| Economia Azul | INDE | Infraestrutura Nacional de Dados Espaciais, IBGE, Geoportal, Metadados | Relevância do PEM para a Economia Azul | Estrutura nacional de dados do IBGE que cataloga, integra e harmoniza dados geoespaciais (batimetria, geofísica, oceanografia) para acesso fácil e seguro, essencial para reduzir custos do PEM. | false | |
| Economia Azul | Programas Estratégicos de Defesa Naval | SisGAAz, PROSUB, SN-BR, Segurança, Fiscalização | Relevância do PEM para a Economia Azul | Projetos estratégicos, como o Sistema de Gerenciamento da Amazônia Azul (SisGAAz) e o Programa de Desenvolvimento de Submarinos (PROSUB), que visam garantir a defesa dos interesses do país no mar e a segurança da Amazônia Azul. | false | |
