| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap I. | RI | **A Geopolítica é o produto da evolução da observação gradual da ação do homem na exploração do meio natural.** | A Geopolítica é uma invenção de políticos sedentos de mando, buscando uma justificativa científica para satisfazer sua ambição de poder. | true | A Geopolítica é o produto da evolução da observação da ação humana na exploração do meio natural, e não uma invenção de políticos sedentos de mando. |
| Princípios de Relações Internacionais | Cap I. | RI | **Galileu, em seu livro *"Discorsi i Dimonstrazioni Mathematiche"*, desenvolveu a Teoria do Método Experimental, abrindo caminho para o conhecimento sistemático.** | A Teoria do Método Experimental, que abriu a porta para a consagração científica das Ciências Sociais, foi desenvolvida por Francis Bacon em 1620. | true | Galileu desenvolveu a Teoria do Método Experimental, o que permitiu a Francis Bacon lançar o *Novum Organon* e abrir a porta para as Ciências Sociais. |
| Princípios de Relações Internacionais | Cap I. | RI | **Estudiosos da antiguidade como Platão e Aristóteles já indicavam as vantagens ou desvantagens das populações quando litorâneas ou interioranas.** | As observações sobre a influência da geografia na ação do homem surgiram apenas no final do século XIX, com o avanço da ciência geográfica. | true | Platão e Aristóteles, entre outros sábios da antiguidade, já faziam observações sobre a influência da posição geográfica na sociedade política. |
| Princípios de Relações Internacionais | Cap I. | RI | **O geógrafo Jean Bodino, na Idade Média, realizou uma tentativa pré-científica de ordenação do pensamento geográfico-político, valorizando a relação Estado-meio físico.** | Jean Bodino é reconhecido por ter rejeitado a correlação entre Estado e meio físico, focando-se apenas na política institucional. | true | Bodino, na Idade Média, realizou uma tentativa pré-científica de ordenação do pensamento geográfico-político, valorizando a correlação Estado-meio físico. |
| Princípios de Relações Internacionais | Cap I. | RI | **Hegel, no seu livro *"Filosofia da História"*, dedicou um capítulo inteiro à "Base Geográfica da História", apreciando a influência da geografia na modelação do homem político.** | Hegel, ao contrário de Kant e Montesquieu, concentrou-se exclusivamente na filosofia pura, sem abordar a influência da geografia na história. | true | Hegel, em sua obra, dedicou um capítulo à "Base Geográfica da História", onde aprecia a influência do meio geográfico na modelação do homem político. |
| Princípios de Relações Internacionais | Cap I. | RI | **Napoleão Bonaparte sentenciou no apogeu de sua glória que: "A Geografia indica o destino das nações".** | Napoleão Bonaparte acreditava que a História, e não a Geografia, era o fator determinante para o destino das nações. | true | A famosa sentença de Napoleão Bonaparte é: "A Geografia indica o destino das nações". |
| Princípios de Relações Internacionais | Cap I. | RI | **As opiniões sobre a relação política-geografia possibilitaram o surgimento sequencial da Geografia Humana (ou Antropogeografia), da Geografia Política e, finalmente, da Geopolítica.** | A Geopolítica surgiu diretamente da Filosofia, antecedendo o desenvolvimento da Geografia Humana e da Geografia Política. | true | A ordem de surgimento dos campos de estudo foi: Geografia Humana, Geografia Política e Geopolítica. |
| Princípios de Relações Internacionais | Cap I. | RI | **Friedrich Ratzel comparou a Geografia Política à fotografia (estática) e a Geopolítica à cinematografia (viva, movimentada e prospectiva).** | Ratzel comparou a Geopolítica à fotografia, devido à sua natureza estática e panorâmica. | true | Ratzel disse que a Geografia Política era como a fotografia, enquanto a Geopolítica era a cinematografia. |
| Princípios de Relações Internacionais | Cap I. | RI | **A Geopolítica é o produto da interação dinâmica dos três fatores: Política, Geografia e História, conduzindo a uma prospectiva dos acontecimentos do Estado.** | A Geopolítica é o produto da interação estática apenas da Geografia e da Política, ignorando o fator dinâmico da História. | true | A Geopolítica é o produto da interação dinâmica dos três fatores (Política, Geografia e História) com foco na prospectiva. |
| Princípios de Relações Internacionais | Cap I. | RI | **A primeira das "Sete Leis do Expansionismo" de Friedrich Ratzel afirma que o espaço dos Estados deve crescer com a sua cultura.** | Ratzel defendia que o crescimento territorial é determinado apenas por fatores econômicos e não tem relação direta com a evolução cultural do Estado. | true | Ratzel estabeleceu que o espaço dos Estados deve crescer com sua cultura, sendo esta a primeira lei do expansionismo. |
| Princípios de Relações Internacionais | Cap I. | RI | **Ratzel estabeleceu que o crescimento do Estado se manifesta pela adição de novos estados, dentro do processo de amalgação.** | O crescimento do Estado, segundo Ratzel, é realizado exclusivamente por meio de conquistas militares de áreas despovoadas. | true | O crescimento do Estado manifesta-se pela adição de novos estados, dentro do processo de amalgação, conforme Ratzel. |
| Princípios de Relações Internacionais | Cap I. | RI | **Ratzel definiu a fronteira como o órgão periférico do Estado e prova do crescimento, da força e das mudanças desse organismo.** | A fronteira, para Ratzel, é uma linha estática e fixa, que delimita e restringe permanentemente a expansão estatal. | true | A fronteira é o órgão periférico do Estado, e sua mobilidade prova o crescimento e a força do organismo estatal. |
| Princípios de Relações Internacionais | Cap I. | RI | **A Escola Alemã, usualmente chamada de "determinista", considerava a preponderância do fator geográfico no processo civilizatório.** | Os autores alemães consideravam o fator político mais ponderável do que o geográfico, razão pela qual a escola foi chamada de "possibilista". | true | A Escola Alemã é chamada "determinista" por considerar o fator geográfico preponderante no processo civilizatório. |
| Princípios de Relações Internacionais | Cap I. | RI | **A Escola Francesa, com autores como Vidal de La Biache, Brunhes e Vallaux, foi chamada de "possibilista" por considerar o fator geográfico menos ponderável que o fator político.** | A Escola Francesa ("possibilista") defendia que o fator geográfico era o determinante final do destino das nações, seguindo a tradição alemã. | true | A escola possibilista francesa considerava o fator geográfico menos ponderável que o fator político. |
| Princípios de Relações Internacionais | Cap I. | RI | **Mahan e Mackinder são considerados autores pragmáticos e factuais da Geopolítica, que inspiraram as políticas de Poder Marítimo e Poder Continental, respectivamente.** | Mahan e Mackinder se embrenharam no campo teórico, produzindo apenas obras abstratas sem impacto direto na política internacional. | true | Mahan e Mackinder são autores pragmáticos e factuais, inspirando o Poder Marítimo (Mahan) e o Poder Continental (Mackinder). |
| Princípios de Relações Internacionais | Cap I. | RI | **A concepção de Mackinder baseava-se na ideia de uma "área pivô" (Heartland) no centro da massa continental europeia, o que contrariava a teoria anterior de Poder Mundial baseada no domínio dos mares de Mahan.** | A teoria de Mackinder foi um complemento direto à teoria de Mahan, focando-se nas áreas insulares. | true | A teoria continental de Mackinder, centrada no *heartland* e na "ilha mundial", contradizia a teoria de Mahan, baseada no domínio dos mares. |
| Princípios de Relações Internacionais | Cap I. | RI | **O General Karl von Haushofer, em Munique, criou um Instituto de Geopolítica cujos estudos empolgaram o espírito de Hitler, levando o imperialismo alemão a buscar endosso científico para suas teses expansionistas.** | O Instituto de Geopolítica de Haushofer era puramente acadêmico e não teve qualquer relação com as teses expansionistas do Partido Nazista. | true | Haushofer criou o Instituto de Geopolítica, cujos estudos forneceram um endosso científico para as teses imperialistas e expansionistas de Hitler. |
| Princípios de Relações Internacionais | Cap I. | RI | **A *"Containment Theory"* de George Kennan (1947) defendia que quem dominasse as regiões costeiras (*fringe areas*) da "ilha mundial" eurasiática dominaria o *heartland*.** | A Teoria da Contenção de Kennan reforçou o conceito de Mackinder, priorizando o domínio do *heartland* para o controle mundial. | true | O Containment de Kennan se baseava no domínio das *fringe areas* (regiões costeiras) da ilha eurasiática, em contraposição ao domínio do *heartland*. |
