| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap III. | RI | **A Geopolítica é um ramo da Ciência Política que se formou pela interação dinâmica de três ramos de conhecimento: a Geografia, a Política e a História.** | A Geopolítica é um ramo da Economia que se formou apenas pela aplicação da Política ao espaço físico, desconsiderando a experiência humana da História. | true | A Geopolítica é conceituada como o agente mais ativo do trinômio Política-Geografia-História. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O sociólogo francês Maurice Duverger afirma que **"Política é Poder"**, e que na prática os dois conceitos se fundem, sendo o Poder os meios para alcançar os objetivos políticos. | Para Duverger, a Política é a arte de escolher e conquistar objetivos, mas o conceito de Poder deve ser tratado de forma separada e não se funde com ela. | true | Em termos práticos, Duverger diz que os conceitos de Política (arte de escolher objetivos) e Poder (meios para obter objetivos) se fundem. | | |
| Princípios de Relações Internacionais | Cap III. | RI | **O Filósofo-político Norberto Bobbio considera inseparáveis os conceitos de Política, Poder e Estado**, sendo a referência ao fenômeno Poder o que eles têm em comum. | Bobbio concorda com a interação entre Política e Poder, mas sugere que o conceito de Estado deve ser dissociado dessa interdependência para uma análise clara. | true | Bobbio inclui o conceito de Estado na íntima interação entre Política e Poder, considerando-os inseparáveis. | | |
| Princípios de Relações Internacionais | Cap III. | RI | A modernidade na área da Política é representada principalmente pela presença, cada vez mais acentuada, do **Poder Extraterritorial** exercido por estados poderosos. | A principal inovação na área política da modernidade é o fortalecimento dos meios tradicionais de proteção territorial, reduzindo a importância do Poder Extraterritorial. | true | O texto afirma que a modernidade política é caracterizada pela presença crescente do Poder Extraterritorial, exercido por estados com supremacia econômica e tecnológica. | | |
| Princípios de Relações Internacionais | Cap III. | RI | Os estados poderosos, munidos de alta tecnologia informática, penetram **verticalmente** nos espaços territoriais de outros países, levando a informação que interessa à sua política e economia. | A penetração de estados poderosos nos territórios alheios é realizada exclusivamente de forma horizontal, através de acordos bilaterais formais, e não verticalmente por redes de comunicação. | true | A penetração é descrita como vertical, utilizando redes de comunicação para difundir cultura, política e economia. | | |
| Princípios de Relações Internacionais | Cap III. | RI | A interferência externa via informação a que os territórios nacionais estão submetidos representa um **"capitis diminutio" à sua soberania**, colocando em discussão os conceitos tradicionais de Estado-Nação. | A invasão de mensagens sonoras e visuais e operações financeiras não afeta a essência da soberania nacional, pois os meios tradicionais de proteção territorial impedem a *capitis diminutio*. | true | A incapacidade de impedir a invasão de mensagens, apesar dos meios tradicionais de proteção, representa uma diminuição da soberania. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O diplomata George Kennan afirmou que **não via nada de novo que justificasse o uso de palavras pomposas para descrever a presente situação internacional** (globalização). | George Kennan acreditava que a globalização representava uma ruptura histórica total e que o Estado-Nação havia morrido, conforme entrevista de 1997. | true | Kennan manifestou ceticismo sobre a "globalização", afirmando não ver novidade que justificasse o uso de termos pomposos e preferindo arranjos regionais. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O pensador Miguel Reale defende que o **internacionalismo em antítese às pátrias é uma ilusão perigosa** que enfraquece certos estados e serve aos que se arvoram ideológicos da universalidade. | Miguel Reale apoia a resolução dos problemas da sociedade fora dos quadros nacionais, apelando para uma solidariedade universal superior às exigências de coesão interna. | true | Reale enfatiza a necessidade de preservar o Poder Nacional, alertando que o internacionalismo em oposição às pátrias é uma ilusão perigosa. | | |
| Princípios de Relações Internacionais | Cap III. | RI | A renovação do direito não deve operar-se como uma dádiva de uma ordem social superior aos estados nacionais, visto que **cada povo constrói o seu direito a seu modo**. | Para Miguel Reale, a renovação do direito deve obrigatoriamente ser imposta por uma ordem social superior aos estados nacionais para garantir a coesão interna e universalidade. | false | Reale afirma que cada povo vive e constrói o seu direito a seu modo, e que é nessa experiência que reside a melhor garantia do direito. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O pensamento político predominante conclui pela **reafirmação do poder político do Estado-Nação como agente único e indispensável da harmonia internacional**. | A principal conclusão do pensamento político predominante é que o mundo se tornou menor e menos intercomunicável, exigindo a substituição do Estado-Nação por organismos supranacionais. | true | A tomada de consciência do mundo menor e mais intercomunicável é seguida pela reafirmação do Estado-Nação como agente indispensável da harmonia internacional. | | |
| Princípios de Relações Internacionais | Cap III. | RI | A soberania do Estado-Nação, devido à rapidez dos transportes e à invasão de informações, obrigou os estados a **reverem os antigos critérios de zelo pela sua preservação preventiva**. | A soberania, como direito de autodeterminação, não foi afetada pela modernidade, e os critérios tradicionais de zelo preventivo (como não admitir tropas aliadas em paz) permanecem rigorosamente inalterados. | true | O texto menciona que os estados foram obrigados a rever critérios de zelo, como permitir o estacionamento de tropas estrangeiras aliadas, algo antes inadmissível em tempo de paz. | | |
| Princípios de Relações Internacionais | Cap III. | RI | No contexto moderno, **o apequenamento do planeta e o devassamento dos territórios têm feito crescer os ajustes entre os estados**, permitindo concessões que não firam a essência das soberanias. | O aumento dos ajustes e pactos internacionais é visto como uma lesão inevitável à soberania nacional, pois impõe restrições que ferem sempre a essência dos estados pactuantes. | true | Os ajustes internacionais são possíveis e crescem, mas somente se for mantido o princípio do consentimento soberano, sem ferir a essência das soberanias. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O alicerce da sociedade mundial e de toda a jurisprudência do Direito Internacional está no respeito aos princípios de **soberania e de autodeterminação dos povos**. | A estrutura política mundial consolidada no último século baseia-se prioritariamente nos arranjos regionais e no colonialismo tecnológico, e não nos princípios de soberania e autodeterminação. | true | O texto consagra a legitimidade dos princípios de soberania e autodeterminação como suportes fundamentais do Estado-Nação e da estrutura política mundial. | | |
| Princípios de Relações Internacionais | Cap III. | RI | A **violação dos princípios de soberania e autodeterminação**, como imposição da modernidade ou da globalização, derruirá toda a estrutura que assegura a estabilidade da sociedade internacional. | A violação dos princípios basilares do Direito Internacional é uma etapa necessária da modernidade que conduzirá à maior estabilidade da sociedade internacional através de uma nova ordem global. | false | O autor questiona o preço da violação desses princípios, alertando que ela derruirá toda a estrutura que garante a estabilidade internacional. | | |
| Princípios de Relações Internacionais | Cap III. | RI | Segundo o escritor francês Pascal Boniface, o mundo contemporâneo atravessa um fenômeno de transição caracterizado por **contradições estratégicas**. | Pascal Boniface conclui que as incertezas do mundo contemporâneo se devem à ausência de contradições estratégicas, o que simplifica o exercício do poder pelo Estado. | true | Boniface destaca as incertezas como um fenômeno de transição cuja principal característica são as contradições estratégicas que produz. | | |
| Princípios de Relações Internacionais | Cap III. | RI | Uma das contradições estratégicas listadas por Pascal Boniface é a **hegemonia norte-americana coexistindo com a multipolarização do planeta**. | Boniface aponta a multipolarização como a única força atuante na política mundial, tendo a hegemonia norte-americana desaparecido completamente. | true | Boniface lista a coexistência da hegemonia norte-americana e a multipolarização do planeta como uma contradição. | | |
| Princípios de Relações Internacionais | Cap III. | RI | Entre as contradições da transição, Boniface lista a **proliferação de estados coexistindo com o enfraquecimento do poder do Estado** como autor central das relações internacionais. | A proliferação de novos estados no cenário global resultou no fortalecimento imediato do poder do Estado como autor central das relações internacionais. | false | Boniface lista a proliferação de estados, mas aponta, paradoxalmente, o enfraquecimento do poder do Estado como autor central. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O *Livre Blanche sur la Defense* (1994), da França, concluiu que, face às novas ameaças do mundo em transição, a **identidade nacional deve ser preservada a qualquer custo**. | O documento francês de defesa de 1994, preocupado com as incertezas, priorizou a desvinculação da identidade nacional em prol de uma integração supranacional imediata. | true | Os estrategistas franceses concluíram que a defesa dos interesses vitais está ligada à sobrevivência e à preservação da identidade nacional a qualquer custo. | | |
| Princípios de Relações Internacionais | Cap III. | RI | O sociólogo Vamireh Chacon destaca que estados com poder econômico e científico-tecnológico transformam-se em **estados transnacionais**, cujo poder é projetado por suas empresas transnacionais. | Chacon argumenta que a associação Estado-Empresa é irrelevante para a projeção de poder, visto que o poder transnacional é exercido exclusivamente por organismos multilaterais. | true | Chacon foca na importância da associação Estado-Empresa na projeção transnacional da economia, caracterizando-os como estados transnacionais. | | |
| Princípios de Relações Internacionais | Cap III. | RI | Samuel Huntington, em *The Clash of Civilizations*, desenvolve a tese de que os grandes conflitos políticos futuros serão **entre civilizações**, citando a radicalização da civilização muçulmana em conflitos contemporâneos. | Huntington argumenta que os futuros conflitos políticos serão dominados por ideologias de classe e não por diferenças de índole civilizacional, que ele considera secundárias. | true | Huntington vê a política mundial do futuro envolvida cada vez mais por conflitos de índole civilizacional, tomando exemplos como Bósnia e Afeganistão. | | |
