| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap IV. | RI | **Giovanni Vico** é reconhecido como o principal inovador dos estudos da ciência histórica, tendo atuado entre 1668 e 1744. | Vico é reconhecido principalmente por aperfeiçoar o método descritivo e factual já existente na História, mantendo o foco exclusivo nos eventos políticos. | true | Vico revolucionou o método de estudo da História ao introduzir a análise do ambiente sociológico e o enfoque psicológico, indo além do puramente descritivo. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | O método de estudo da História de Vico adquiriu nova autenticidade com a análise do ambiente sociológico do local e da época, e o enfoque psicológico dos principais personagens. | Vico insistia que o método da História deveria permanecer estritamente descritivo e focado apenas nos fatos políticos, sem análise sociológica ou psicológica. | true | Vico inovou a História, que era predominantemente descritiva e factual, adicionando a análise sociológica do ambiente e o enfoque psicológico dos personagens. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Na opinião do historiador norte-americano Edmund Wilsono, Vico foi o primeiro historiador a apreender o **caráter orgânico da história da sociedade humana**. | Segundo Edmund Wilsono, Vico falhou em reintegrar as diversas forças e fatores que compõem a vida humana no estudo histórico. | true | Wilsono elogia Vico por ter sido o primeiro a apreender o caráter orgânico da história e a importância de reintegrar suas diversas forças e fatores. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | O pensamento de Vico fundamenta-se essencialmente no **princípio da unidade orgânica da História** e na consciência do valor da sua interpretação sociológica. | O fundamento do pensamento de Vico repousa na separação da História em eventos isolados e na rejeição da interpretação sociológica dos fatos. | true | Vico defendia o princípio da unidade orgânica da História e valorizava a sua interpretação sociológica. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Vico afirmava que onde quer que as mesmas circunstâncias estejam presentes surgirão os mesmos fenômenos e não quaisquer outros. | Vico acreditava que as leis históricas são totalmente aleatórias, de modo que circunstâncias idênticas geram fenômenos imprevisíveis. | true | Vico estabeleceu um princípio de causalidade, afirmando que a repetição das mesmas circunstâncias leva ao surgimento dos mesmos fenômenos. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Jules Michelet, seguidor de Vico, decidiu-se a escrever a História da Revolução Francesa, aplicando e aperfeiçoando o método analítico-interpretativo de Vico. | Jules Michelet rejeitou o método de Vico e concentrou-se na escrita da história da Revolução Americana, utilizando o método factual tradicional. | true | Michelet foi um seguidor de Vico, descobrindo sua obra em 1824, e aplicou o método analítico-interpretativo na sua História da Revolução Francesa. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | A obra de Michelet sobre a Revolução de 1789 é unânime entre os historiadores franceses modernos como o mais completo estudo histórico sobre o tema. | A obra de Michelet, apesar de extensa, foi considerada secundária, pois se focou demais na interpretação sociológica, afastando-se da narrativa factual. | true | Os historiadores franceses modernos são unânimes em consagrar a obra de Michelet como o estudo histórico mais completo sobre a Revolução de 1789. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | O historiador inglês Arnold Toynbee escreveu a obra monumental *Study of History*, analisando a história de 21 civilizações que povoaram o mundo. | Arnold Toynbee concentrou sua pesquisa em apenas cinco civilizações consideradas sobreviventes na atualidade, não abrangendo as demais que desapareceram. | true | Toynbee selecionou e estudou 21 civilizações, mas considerou apenas cinco sobreviventes na atualidade. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Toynbee aplicou o método interpretativo de Vico e acrescentou a sua **"teoria do desafio e da resposta"** para analisar o sucesso ou fracasso das civilizações. | Toynbee refutou completamente o método interpretativo de Vico e baseou-se puramente na análise geográfica determinista. | true | Toynbee utilizou o método interpretativo de Vico, mas o complementou com sua teoria do desafio e da resposta. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Foram vitoriosas as sociedades que se mostraram capazes de responder ao desafio do meio físico (geografia) e de suas próprias contradições psicossociais. | As sociedades vitoriosas foram aquelas que se isolaram do meio físico, evitando seus desafios e concentrando-se apenas na coesão interna. | true | O sucesso das sociedades, segundo Toynbee, é medido pela sua capacidade de responder e superar os desafios impostos pela geografia e pelas contradições internas. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | A teoria do "desafio e resposta" de Toynbee elimina os traços das doutrinas etnocentristas e geocentristas, que defendiam raça superior ou posição e clima privilegiados. | A teoria de Toynbee reforça o conceito de que sociedades em latitudes não privilegiadas (tropicais ou frias) têm menor capacidade de evoluir. | true | A teoria de Toynbee defende que o homem ativo de qualquer raça ou latitude pode triunfar se responder ao desafio toynbeano, refutando o etnocentrismo e geocentrismo. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Toynbee utiliza o critério de definir o **"campo inteligível do estudo histórico"** para delimitar o espaço a ser investigado de cada sociedade. | Toynbee defendia que a investigação histórica deveria ser universal e não deveria ser delimitada por um "campo inteligível" específico para cada civilização. | true | A definição do "campo inteligível de estudo histórico" é um dos três critérios principais do método de investigação histórica de Toynbee. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Depois de estudar as 21 civilizações, Toynbee considerou cinco sociedades sobreviventes na atualidade: ocidental, cristã ortodoxa, islâmica, hindu e chinesa. | Toynbee, após seu estudo, concluiu que apenas as civilizações suméria, babilônica e helênica contribuíram significativamente para a formação de novas sociedades. | true | O estudo de Toynbee resultou na identificação das cinco civilizações citadas como as sobreviventes na atualidade. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Um dos critérios do método de investigação de Toynbee é a **separação da teologia da política** nas avaliações de contribuição histórica. | O método de Toynbee defende que a teologia deve manter a primazia sobre a política nas avaliações históricas, visto que a religião é o principal motor da evolução. | true | O método de Toynbee inclui a separação da teologia da política nas avaliações históricas, tratando as religiões como crisálidas. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Na França contemporânea, a revista **Annales** mantém viva a chama de *La Nouvelle Histoire*, fundada em 1929 por Lucien Febvres e Marc Bloch. | A escola de Annales, herdeira de Michelet, foi fundada por Fernand Braudel e Peter Burke, que depois a associaram aos trabalhos de Febvres e Bloch. | true | A escola de Annales foi fundada pelos então jovens historiadores Lucien Febvres e Marc Bloch em 1929. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | A escola de Annales defende a abrangência da historiografia aos campos da geografia, sociologia, psicologia, economia e antropologia. | A escola de Annales sustenta que a predominância do estudo da História deve ser o **fato político**, seguindo o método estritamente factual de seus antecessores. | true | A escola de Annales discorda da predominância do fato político, defendendo a abrangência da historiografia a diversas ciências sociais. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Ortega Y Gasset, em *Una lnterpretación de la Historia Uni­versal*, contestou principalmente o conceito toynbeano de "campo inteligível de estudo da História" e a teoria do "desafio e da resposta". | Ortega Y Gasset fez uma crítica à obra de Toynbee, mas concordou totalmente com a teoria do "desafio e da resposta", concentrando sua refutação apenas no conceito de "campo inteligível". | true | Gasset refutou os dois principais conceitos metodológicos de Toynbee: o campo inteligível e a teoria do desafio e da resposta. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Ortega y Gasset criticou Toynbee por ter metodizado demais uma ciência social que "é permanente inquietação, surpresa e mudança". | Gasset considerou que a doutrina de Toynbee era insuficientemente metodizada e carente de rigor científico. | true | Gasset viu como falha de Toynbee ter metodizado excessivamente uma ciência social inerentemente dinâmica e mutável. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Barbara Tuchman é considerada a mais bem-sucedida historiadora dos Estados Unidos, com obras clássicas como *Os Canhões de Agosto*. | Barbara Tuchman, uma proeminente socióloga, é conhecida por sua crítica à metodologia histórica, mas não por obras históricas narrativas de grande circulação. | true | Tuchman é a historiadora mais bem-sucedida dos EUA, famosa por seus livros de história com tiragens de milhões de exemplares. | | |
| Princípios de Relações Internacionais | Cap IV. | RI | Barbara Tuchman acredita que o historiador tem a oportunidade de se tornar o principal intérprete, na ciência literária, do papel do homem na sociedade moderna, fornecendo compreensão humana. | Tuchman argumenta que o papel do historiador diminuiu em uma época de incerteza crescente, sendo a voz dos cientistas políticos mais necessária e adequada. | true | Tuchman defende que, em tempos de incerteza, a voz do historiador é a mais necessária e tem a oportunidade de ser o principal intérprete do papel do homem na sociedade. | | |
