| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap V. | RI | **O fator geográfico foi o que recebeu o maior impacto modificador provocado pelos avanços da tecnologia na modernidade.** | O fator histórico e os novos métodos interpretativos foram os mais impactados pela tecnologia da modernidade. | true | O texto sintetiza que, dos três ramos, o geográfico foi o mais profundamente modificado pelos avanços tecnológicos. |
| Princípios de Relações Internacionais | Cap V. | RI | O uso do meio geográfico foi enormemente favorecido na modernidade pela agregação de novos recursos da **engenharia de transportes, telecomunicações e informática.** | Os avanços tecnológicos não alteraram fundamentalmente a utilização do meio geográfico, que se manteve estável e independente dos recursos artificiais. | true | O meio geográfico natural foi enriquecido e seu uso favorecido pela engenharia de transportes, telecomunicações e informática. |
| Princípios de Relações Internacionais | Cap V. | RI | A exploração do espaço geográfico, que se fazia apenas horizontalmente, ganhou uma nova via, a **via vertical**, por onde transitam mensagens e imagens lançadas por meios eletrônicos. | A modernidade eliminou a necessidade da exploração horizontal do espaço, substituindo-a totalmente pela via vertical eletrônica de comunicações. | true | A exploração do espaço pelo homem-operativo ganhou a via vertical para a transmissão de mensagens, complementando a exploração horizontal. |
| Princípios de Relações Internacionais | Cap V. | RI | Em termos de utilização política do meio geográfico, dois fatores principais sempre foram considerados: **sua extensão e sua posição.** | O valor político do território é determinado unicamente pelo fator tempo, sendo a extensão e a posição irrelevantes para a análise geopolítica. | true | A extensão e a posição do território são os dois fatores principais considerados na análise da utilização política do meio geográfico. |
| Princípios de Relações Internacionais | Cap V. | RI | O valor da **extensão** do território possui um peso político **quantitativo**, avaliado pela população e pelas riquezas naturais que pode abrigar. | O valor da extensão territorial possui um peso político **qualitativo**, apreciado principalmente pela localização geodésica e pelas condições climáticas. | true | A extensão está associada ao peso político quantitativo, definido pela população e pelas riquezas naturais. |
| Princípios de Relações Internacionais | Cap V. | RI | A **posição** do território tem peso político **qualitativo**, que é determinado por fatores como sua localização geodésica, condições climáticas e características de maritimidade ou continentalidade. | A posição do território é um fator estritamente quantitativo que se mede apenas pela área total e pelo número de habitantes que se pode abrigar. | true | A posição do território tem peso qualitativo, que é apreciado por sua localização geodésica, clima e características de maritimidade ou continentalidade. |
| Princípios de Relações Internacionais | Cap V. | RI | O encurtamento drástico das distâncias pelos novos meios de transporte e a instantaneidade da comunicação **volatizaram o fator tempo**. | Os novos meios de comunicação e transporte reforçaram a estabilidade do fator tempo, sendo o espaço o elemento que se tornou mais fugaz. | true | A quase instantaneidade da comunicação e o encurtamento das distâncias pelos novos meios de transporte resultaram na volatilização do fator tempo. |
| Princípios de Relações Internacionais | Cap V. | RI | **O espaço** se apresenta como o fator mais estável do binômio espaço-tempo, sendo a sua estabilidade uma percepção que remonta a pensadores como Descartes. | O tempo é o fator mais estável do binômio espaço-tempo, uma vez que o espaço foi profundamente alterado em sua forma e posição pela tecnologia. | true | O espaço é percebido como o fator mais estável do binômio, conforme a percepção citada de Descartes: "O espaço é concreto, o tempo não". |
| Princípios de Relações Internacionais | Cap V. | RI | A incidência dos extraordinários avanços tecnológicos sobre os hábitos e costumes da sociedade atingiu muito mais o **fator tempo** do que o fator espaço. | A incidência dos avanços tecnológicos foi equilibrada entre o fator tempo e o fator espaço, afetando ambos com igual intensidade. | true | O texto afirma que os avanços tecnológicos atingiram "muito mais o fator tempo do que o fator espaço". |
| Princípios de Relações Internacionais | Cap V. | RI | As grandes nações, como a França e o Brasil, conservam **quase que o mesmo território** que possuíam há cem anos, comprovando a estabilidade do fator espaço. | A Geopolítica moderna é marcada pela redefinição constante e substancial das fronteiras, o que altera as extensões territoriais de todas as grandes nações. | true | O fato de grandes países conservarem o mesmo território que possuíam há cem anos é usado como evidência da estabilidade do espaço. |
| Princípios de Relações Internacionais | Cap V. | RI | O meio geográfico natural, enriquecido pelos recursos artificiais, tornou muito mais favorável a sua utilização pelo homem, o que **influirá na sua potencialização política.** | A potencialização política do meio geográfico está exclusivamente ligada à sua natureza intrínseca e não é influenciada pela agregação de recursos artificiais. | true | O enriquecimento do meio geográfico natural torna sua utilização mais favorável pelo homem, o que influencia sua potencialização política. |
| Princípios de Relações Internacionais | Cap V. | RI | A sociedade humana cruzou a passagem do século XIX para o século XX sem conhecer invenções como o **avião, os satélites, o rádio, a televisão ou a informática.** | Todos os avanços tecnológicos essenciais, como o rádio e a energia nuclear, já estavam incorporados ao patrimônio da sociedade humana no final do século XIX. | true | O texto lista várias invenções que a sociedade não conhecia ao cruzar a passagem do século XIX para o século XX. |
| Princípios de Relações Internacionais | Cap V. | RI | Através dos modernos meios de comunicação, o homem invade o espaço de todos os quadrantes do planeta com suas mensagens faladas e escritas, e os meios de transporte aproximam todos os países. | Os modernos meios de comunicação e transporte reforçam o isolamento cultural e geográfico dos países, tornando a invasão de mensagens irrelevante. | true | Os meios de comunicação invadem o espaço com mensagens, e os transportes aproximam todos os países. |
| Princípios de Relações Internacionais | Cap V. | RI | Os recursos da modernidade, incidindo e interagindo na Geografia e na Política, só vieram tornar a **Geopolítica mais apta** a oferecer avaliações sobre a aplicação do Poder do Estado. | A Geopolítica se tornou menos relevante na modernidade, pois os avanços tecnológicos superaram a influência dos fatores geográficos e políticos tradicionais. | true | A interação dos recursos da modernidade nos ramos da Geopolítica a tornou mais apta para avaliações de Poder. |
| Princípios de Relações Internacionais | Cap V. | RI | A História, como ramo científico da Geopolítica, foi enriquecida na modernidade pelo método de interpretação de **Toynbee** (com raízes em Vico e Michelet) e pelas obras de **Lucien Febvres e Barbara Tuchman.** | A escola historiográfica moderna rejeitou os métodos de interpretação de Toynbee, Vico e Michelet, focando-se unicamente na análise política factual. | true | O texto identifica Toynbee, Febvres e Tuchman como historiadores que enriqueceram o ramo da História na modernidade. |
| Princípios de Relações Internacionais | Cap V. | RI | **Vico e Michelet** são citados como tendo estabelecido as raízes do método de interpretação histórica que seria mais tarde complementado por Arnold Toynbee. | Toynbee desenvolveu seu método de interpretação histórica de forma isolada, sem qualquer influência das obras de Vico e Michelet. | true | O método de interpretação de Toynbee tem suas raízes encontradas em Vico e Michelet. |
| Princípios de Relações Internacionais | Cap V. | RI | O homem tecnotrônico moderno adquiriu instrumentos de ação extraordinários para **dominar os obstáculos da natureza** e colocá-la a seu serviço dentro dos territórios. | Os avanços tecnológicos modernos são incapazes de dominar os obstáculos da natureza, que permanecem como o fator limitante exclusivo do poder do Estado. | true | Os instrumentos adquiridos pelo homem tecnotrônico permitem dominar os obstáculos da natureza e colocá-la a seu serviço. |
