| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap VI. | RI | **O Embaixador José Oswaldo Meira Penna afirma que o Tratado de Tordesilhas (1494) determinou a configuração inicial da política externa brasileira, focada nas fronteiras terrestres a oeste.** | Meira Penna argumenta que Tordesilhas foi um marco puramente geográfico, sem influência direta na configuração da política externa ou na definição inicial das fronteiras brasileiras. | true | Meira Penna afirma que Tordesilhas é o primeiro e mais importante alicerce da vida internacional do Brasil, determinando as relações com a Espanha e o problema de fronteiras. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **A mais antiga visão prospectiva sobre o futuro do Brasil data de 1587, sendo de autoria do historiador português Gabriel Soares de Sousa, que viu o país capaz de edificar um grande Império.** | A visão prospectiva mais antiga data do século XVII e pertence a Alexandre de Gusmão, que previu a inevitável separação das colônias em pequenos estados. | true | Gabriel Soares de Sousa, em 1587, sintetizou suas impressões de que o Brasil estava "capaz para se edificar nelle hum grande Imperio". | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **No documento "Lembranças e Apontamentos" (1821), José Bonifácio defendeu a necessidade da interiorização da capital do País, sugerindo um local em latitude aproximada de 15º (próximo a Paracatu).** | José Bonifácio, em 1821, defendia que a capital deveria permanecer no litoral, pois o poder marítimo era a principal garantia contra as potências imperialistas. | true | José Bonifácio propôs a interiorização da capital, citando razões de defesa contra o poder marítimo e a necessidade de um polo de atração para as áreas periféricas. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **Alexandre de Gusmão é considerado o inspirador do Tratado de Madri de 1750, o qual legitimou *de jure* as conquistas territoriais feitas *de fato* pelos bandeirantes paulistas e nortistas.** | Alexandre de Gusmão foi um crítico do Tratado de Madri, pois considerava que ele enfraquecia o direito português sobre as terras do interior. | true | Gusmão é considerado o inspirador do Tratado de Madri de 1750, que legitimou as conquistas dos bandeirantes. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **Mário Travassos destacou em sua análise geopolítica os grandes antagonismos geográficos de nosso subcontinente: do Atlântico e do Pacífico, e do Prata e do Amazonas.** | Mário Travassos concentrou sua análise na unidade geográfica brasileira, minimizando a importância dos antagonismos regionais. | true | Travassos destacou os dois grandes antagonismos do subcontinente (Atlântico/Pacífico) e os dois antagonismos do Atlântico (Prata/Amazonas). | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **Segundo Mário Travassos, o Triângulo Geopolítico Boliviano (Santa Cruz de la Sierra-Cochabamba-Sucre) é uma região-chave de convergência das influências Atlântico-Pacífico, crucial para o controle da política continental.** | Travassos considerava o Triângulo Boliviano uma região marginal, sem relevância estratégica para a disputa de influências continentais. | true | Travassos realça a importância do triângulo boliviano como pólo de convergência das influências Atlântico-Pacífico. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **Mário Travassos sugeriu uma política de transportes baseada na implantação de uma rede ferroviária carreadora para os portos brasileiros do Atlântico, como Santos e Paranaguá, visando a neutralizar desequilíbrios potenciais.** | Travassos priorizava o desenvolvimento exclusivo da malha rodoviária e hidroviária, desfavorecendo o investimento em redes ferroviárias de longa distância. | true | Travassos sugere a implantação ou complementação de uma rede ferroviária carreadora para os portos brasileiros do Atlântico. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **O Professor Everardo Backheuser é considerado o teórico que deu um método e sistematizou a Geopolítica no Brasil, sendo Mário Travassos quem a aplicou no diagnóstico de potencialidades.** | Mário Travassos é considerado o teórico que sistematizou o método, enquanto Everardo Backheuser se limitou a aplicar as ideias no campo militar. | true | Backheuser é considerado o teórico que deu método e sistematizou a geopolítica brasileira, enquanto Travassos a aplicou com mestria. | | |
| Princípios de Relações Internacionais | Cap VI. | RI | **Everardo Backheuser defendia que a fronteira é a "epiderme do organismo estatal", prescrevendo que a política de fronteiras deveria ser uma atribuição federal, e não regional.** | Backheuser defendia a descentralização da política de fronteiras, argumentando que as autoridades regionais manifestavam maior sensibilidade aos problemas locais. | true | Backheuser prescrevia que a política de fronteira não deve ser atribuição regional, mas federal, por ser a fronteira captadora de influências forâneas. | | |
