| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap VII. | RI | **O Embaixador José Osvaldo Meira Penna apontou o Tratado de Tordesilhas (1494) como o alicerce que esboçou a visão estrutural da geopolítica brasileira na época colonial.** | Meira Penna argumentou que o Tratado de Tordesilhas teve pouca influência na estruturação da política externa brasileira, que só se definiu no século XVIII. | true | O diplomata e escritor José Osvaldo de Meira Penna mostrou que o Tratado de Tordesilhas esboçou a visão estrutural da geopolítica brasileira. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **O historiador seiscentista Gabriel Soares de Sousa, em 1578, expressou o deslumbramento na ideia de que o Brasil seria capaz de edificar um grande Império.** | Gabriel Soares de Sousa preconizou, já no período colonial, a divisão do Brasil em estados menores para melhor gestão territorial. | true | Gabriel Soares de Sousa traduziu seu deslumbramento na ideia de Império, afirmando que o Brasil "será um dos estados do Mundo". | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **José Bonifácio, em 1821, defendeu a interiorização da capital e a criação de um sistema de transportes terrestres convergente para promover a integração territorial.** | José Bonifácio defendia a manutenção da capital no litoral para facilitar as relações comerciais e evitar os altos custos da integração terrestre. | true | José Bonifácio, um ano antes da Independência, preconizou a interiorização da capital e a criação de um sistema de transportes terrestres convergente. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **Mário Travassos, em seu livro *Projeção Continental do Brasil* (1931), tinha como objetivo geopolítico elevar o país à posição incontestável de primeira potência do subcontinente austral.** | O foco principal do trabalho de Mário Travassos era a articulação de uma geopolítica geral, deixando de lado projetos de elevação do Brasil a potência subcontinental. | true | Travassos preocupou-se com projetos geopolíticos visando a elevar o Brasil à posição incontestável de primeira potência de nosso subcontinente austral. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **Mário Travassos propôs o que hoje são chamados "corredores de exportação" para portos brasileiros do Atlântico, contrariando a atração natural do Rio da Prata sobre as regiões interiores.** | A política de transportes proposta por Travassos visava fortalecer a atração do Prata, investindo na navegabilidade do Rio Paraguai para conexões com Buenos Aires. | true | Travassos propôs uma política de transportes que contrariasse a atração da corrente hidrográfica do Prata e carreasse o interesse econômico para os portos brasileiros. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **Mário Travassos idealizou uma articulação dos transportes sul-americanos por meio de conexões Atlântico-Pacífico, transpondo a Cordilheira dos Andes nos "nudos" (regiões de abaixamento).** | Travassos considerava a transposição dos Andes um desafio insuperável, focando-se apenas na integração da bacia Amazônica. | true | Travassos idealizou uma articulação dos transportes sul-americanos por meio de conexões Atlântico-Pacífico pela transposição da Cordilheira dos Andes nos "nudos". | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **Everardo Backheuser apontou como a fraqueza mais inquietante do Brasil o quase abandono da imensa fronteira continental, sugerindo a criação de territórios federais para fortalecimento.** | Backheuser defendia que a vigilância da fronteira deveria ser delegada aos estados, uma vez que o poder central estava focado no desenvolvimento do litoral. | true | Backheuser apontou a fraqueza do abandono da fronteira continental e sugeriu o fortalecimento das áreas lindeiras com a criação dos territórios federais. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **O Brigadeiro Lysias Rodrigues sugeriu a inserção do transporte aéreo no sistema viário nacional, visando a aliviar a situação de isolamento da Amazônia e do Oeste.** | Lysias Rodrigues concentrou-se na defesa da Marinha e do Poder Marítimo, vendo o transporte aéreo como secundário para a integração territorial. | true | Lysias Rodrigues acompanhou os processos do transporte aéreo, vendo seu emprego para aliviar o isolamento da região limítrofe da Amazônia e do Oeste. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **A obra *Marcha para o Oeste* de Cassiano Ricardo, na década de 1940, revigorou o espírito nacional para a interiorização e o desbravamento dos sertões e florestas.** | A obra de Cassiano Ricardo é uma crítica à política de interiorização, defendendo que o Brasil deveria priorizar a industrialização das capitais litorâneas. | true | Cassiano Ricardo, com *Marcha para o Oeste*, revigorou o espírito nacional para a necessidade de nos interiorizarmos e desbravarmos nossos sertões. | | |
| Princípios de Relações Internacionais | Cap VII. | RI | **As propostas geopolíticas de Golbery do Couto e Silva coincidiram com o período juscelinista e o período do "Brasil Grande", de 1964 a 1980.** | A influência de Golbery foi limitada ao período pós-1980, sendo ele um crítico ferrenho dos planos desenvolvimentistas anteriores. | true | A inteligência de Golbery formulou propostas geopolíticas que vieram a coincidir com os dois surtos desenvolvimentistas: o juscelinista e o do "Brasil Grande" (1964 a 1980). | | |
