| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
|---|---|---|---|---|---|---|---|---|
| Princípios de Relações Internacionais | Cap VIII. | RI | **O General Meira Mattos, em seu livro de 1975, elaborou um cenário para o ano 2000 que se mostrou muito próximo ao que hoje se vislumbra para 2020.** | As projeções feitas pelo General Meira Mattos na década de 1970 se distanciaram completamente do cenário geopolítico brasileiro no início do século XXI. | true | O articulista Roberto Pereira da Silva concluiu que a visão de Meira Mattos na década de 1970 estava próxima do que se via para 2020. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **A ideia central extraída do pensamento geopolítico brasileiro passado é que "o Brasil possui todas condições geográficas e humanas para se tornar uma grande potência."** | Os pensadores geopolíticos do passado concluíram majoritariamente que a grandeza geográfica brasileira não era suficiente para garantir o status de potência. | true | A ideia, clara ou subjacente em todos os autores, é que o Brasil possui todas as condições geográficas e humanas para se tornar uma grande potência. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **A palavra Império foi utilizada por Gabriel Soares de Souza, Marquês de Pombal, Alexandre de Gusmão e Golbery do Couto e Silva no sentido de "vasta extensão para governar".** | O conceito de Império usado por pensadores como Golbery referia-se estritamente ao regime monárquico e não à vasta extensão territorial. | true | A palavra Império é usada no sentido de "vasta extensão para governar". | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **As propostas dos pensadores geopolíticos do passado se concentraram na permanente preocupação com a integração territorial e a interiorização.** | Os pensadores geopolíticos do passado priorizaram as relações externas e a política marítima, negligenciando a integração territorial interna. | true | Constata-se a preocupação permanente com a integração territorial e a interiorização entre os pensadores geopolíticos do passado. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **Na atualidade, por uma premência estratégica, acentua-se a importância de maior esforço na região da Amazônia, em relação a outras regiões.** | A priorização de regiões para o movimento civilizatório na atualidade se concentra no Sul e Sudeste, devido à sua maior concentração populacional e econômica. | true | A premência estratégica acentua, a cada dia, a importância do maior esforço na Amazônia. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **A preocupação geopolítica com uma estratégia de presença atuante no Atlântico Sul conduziu a política brasileira a interessar-se pela Antártica.** | O interesse brasileiro pela Antártica surgiu de questões puramente ambientais e não está ligada à estratégia de fortalecimento no Atlântico Sul. | true | A preocupação com o fortalecimento de nosso poder no Atlântico Sul levou ao interesse pela Antártica. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **Nossos geopolíticos entenderam que maior desenvolvimento econômico e social representa aumento de poder e gera maior necessidade de segurança interna e externa.** | O aumento do poder advindo do desenvolvimento econômico diminui as necessidades de segurança, pois o país se torna menos vulnerável a ameaças externas. | true | Um maior desenvolvimento representa aumento de poder, e o mesmo gera maior competitividade e, portanto, maior necessidade de segurança interna e externa. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **O resultado mais expressivo da impulsão ao desenvolvimento do País ocorreu no período de 1964 a 1984.** | O período de maior crescimento econômico e social no Brasil ocorreu entre 1990 e 2000, superando os resultados da década de 1970. | true | A maior impulsão ao desenvolvimento atingiu o resultado mais expressivo no período de 1964-84. | | |
| Princípios de Relações Internacionais | Cap VIII. | RI | **Segundo Mário Henrique Simonsen, o Brasil passou de 48º no PIB mundial em 1964 para 8º em 1984.** | No período de 1964 a 1984, o Brasil conseguiu manter sua posição no ranking do PIB mundial, mas as exportações diminuíram significativamente. | true | O Brasil passou, em 1964, da posição de 48º no PIB mundial para, em 1984, a posição de 8º. | | |
