| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | **Edward N. Luttwak** foi o primeiro autor a proclamar que as guerras militares foram substituídas pelos conflitos econômicos. Qual conceito ele propôs para redefinir as relações internacionais dominadas pela lógica do comércio? | Geocultura | Antigeopolítica | **Geoeconomia** | Geometria-Mundo | c | A geoeconomia é o conceito cunhado por Luttwak para descrever a substituição da lógica militar da geopolítica pela lógica do comércio no cenário pós-Guerra Fria. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Luttwak reinterpretou a célebre formulação de Clausewitz ("A guerra é a política continuada por outros meios") para expressar a primazia da economia na nova ordem mundial. Qual é a nova formulação proposta por Luttwak? | "A política é a guerra continuada por outros meios." | "A ideologia é a gramática da política." | "O poder militar está subsumido à ideologia da comunicação." | **"A lógica da guerra está subsumida [incorporada] à gramática [às regras] do comércio."** | d | Luttwak afirma que a lógica da guerra foi incorporada às regras do comércio, indicando a predominância da geoeconomia. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Em um debate sobre o significado da soberania, Luttwak utilizou qual evento, ocorrido no final dos anos 1990, como exemplo de que se pode interferir dentro de um território nacional em nome dos direitos humanos ou do sistema global? | A unificação alemã | A Guerra do Golfo (1991) | O desmembramento da Iugoslávia | **A Guerra do Kosovo** | d | Luttwak afirmou que o evento do Kosovo consagrou a radical mudança no tema "soberania", permitindo a não ingerência estrangeira em nome de valores globais. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Segundo Luttwak, quais eram os principais rivais comerciais dos Estados Unidos após o fim da Guerra Fria, superando a antiga ameaça do comunismo? | China e Rússia | Brasil e Índia | **Japão e União Europeia** | Países do Oriente Médio | c | Luttwak enfatizou que a disputa mudou para rivais comerciais como o Japão e a União Europeia, focada na conquista de mercados e ganhos monetários. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Em sua obra *Head to Head*, Lester Thurow desenvolveu a ideia de "guerras econômicas". Qual característica essencial ele atribuiu a essa nova forma de competição mundial? | Ser estritamente adversarial, eliminando totalmente a cooperação. | Enfatizar o controle militar e a disputa territorial. | Ser determinada por alianças ideológicas rígidas. | **Ser simultaneamente competitivo e cooperativo, permitindo ser aliado e, no entanto, querer vencer.** | d | Thurow afirma que o novo jogo econômico é simultaneamente competitivo e cooperativo, ao contrário dos confrontos militares do passado. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Lester Thurow previu que o século XXI não teria uma única potência dominante, mas seria marcado pela disputa entre: | China, Rússia e Estados Unidos. | **Japão, Europa (Alemanha) e Estados Unidos.** | O bloco islâmico, o bloco asiático e o bloco americano. | Europa (liderada pela França), Estados Unidos e Brasil. | b | Thurow afirmou que o século XXI seria marcado pela disputa entre três centros mundiais de poder: Japão, Europa (liderada pela Alemanha) e Estados Unidos. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Na visão de Lester Thurow, a competição econômica atual se concentra em quais fatores, em substituição às antigas disputas por territórios? | Extensão territorial e quantidade de recursos naturais. | Poderio militar e controle de *sea lanes*. | Força bruta da mão de obra e reservas de petróleo. | **Produtividade, nível tecnológico e educacional, e padrão de vida e consumo per capita.** | d | A competição atual, com o crescimento da interdependência, ocorre em produtividade, tecnologia e padrão de vida, e não mais por territórios. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | Em *The Future of Capitalism*, Thurow listou as **"cinco placas tectônicas"** que alteram a geografia política do globo. Qual dos conceitos a seguir NÃO está incluído nessa lista? | Multipolaridade. | Globalização da economia. | **Ascensão do Fundamentalismo Religioso.** | Mudanças demográficas. | c | As cinco placas tectônicas são: transição do socialismo, globalização, mudanças tecnológicas, multipolaridade e mudanças demográficas. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | O argumento final de Lester Thurow sobre o "futuro do capitalismo" é que o único perigo realmente sério para o sistema, após o fracasso de seus concorrentes (nazifascismo e comunismo), seria: | A ameaça externa de potências asiáticas. | A competição militar entre os EUA e a Rússia. | A proliferação nuclear global. | **Ele próprio, ou seja, as desigualdades e injustiças que o mercado ocasiona.** | d | Thurow afirma que, tendo os concorrentes fracassado, o único perigo sério ao capitalismo são suas próprias desigualdades e injustiças. | | |
| Novas Geopolíticas | Cap 1 | As disputas mundiais de poder são essencialmente econômicas? | A interpretação dos **megablocos** pós-Guerra Fria sugere que o poder mundial se concentra em três blocos regionais preponderantes (americano, europeu e asiático). Qual era o principal fundamento dessa interpretação? | A consolidação do poderio militar da Rússia. | O fracasso de todas as experiências de integração regional. | **O sucesso da integração europeia, cujo exemplo foi parcialmente imitado em várias partes do mundo.** | O completo isolamento dos Estados Unidos. | c | O sucesso da integração europeia serviu de modelo e principal fundamento para a popularização da ideia dos megablocos ou mercados regionais. | | |
