| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a tese fundamental proposta por Samuel P. Huntington em seu ensaio "Choque das civilizações?" (1993) sobre a principal fonte de conflito no mundo pós-Guerra Fria? | Os conflitos serão predominantemente econômicos, entre os megablocos regionais (EUA, Europa, Japão). | Os conflitos terão origem principalmente na disputa por recursos naturais escassos (petróleo e água). | **A fonte fundamental de conflito será de ordem cultural, ocorrendo entre nações e grupos de diferentes civilizações.** | As divisões continuarão sendo ideológicas, entre o capitalismo ocidental e o autoritarismo remanescente. | c | Huntington defende que a fonte predominante de conflito no mundo pós-Guerra Fria será de ordem cultural, dominada pelo choque de civilizações. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | De acordo com Huntington, o que é uma **civilização** no contexto da geopolítica mundial? | Um agrupamento baseado unicamente na religião e na língua. | Um Estado-nação que conseguiu consolidar uma identidade homogênea. | **A identidade cultural mais ampla de um povo, sendo o nível de identificação superado apenas pela espécie humana.** | O conjunto de países que pertence à mesma aliança militar (como a OTAN ou o Pacto de Varsóvia). | c | Huntington define civilização como a identidade cultural mais ampla de um povo, que é o nível mais elevado de identificação cultural. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual evento histórico, segundo Huntington, foi um dos principais exemplos que evidenciaram os conflitos culturais e serviram de base para seu novo paradigma? | A Crise dos Mísseis em Cuba. | A Revolução Iraniana de 1979. | **Os genocídios e as lutas na ex-Iugoslávia.** | A Guerra das Malvinas (Falklands). | c | Huntington se baseou em acontecimentos recentes, como as lutas na ex-Iugoslávia e a Guerra do Golfo, para justificar a importância dos conflitos culturais. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington argumenta que a história da humanidade viveu um padrão temporário que desviou dos conflitos civilizacionais. Qual período é caracterizado por ele como esse **"padrão ocidental de história"**? | O período da Guerra Fria (Capitalismo versus Socialismo). | A fase do colonialismo e do imperialismo (séculos XVII e XVIII). | O período do Iluminismo até a Revolução Francesa. | **Desde a Paz de Westfália até o final da Guerra Fria.** | d | Segundo Huntington, o período que vai da Paz de Westfália até o final da Guerra Fria foi um padrão ocidental baseado em conflitos de reis e nações, desviando do padrão civilizacional. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | As **"linhas de cisão"** (lines of cleavage) são um conceito fundamental na teoria de Huntington. O que elas representam? | As rotas marítimas vitais para o comércio global (sea lanes). | As fronteiras políticas oficiais entre os Estados-núcleos hegemônicos. | As áreas de menor contato cultural, onde a paz prevalece. | **As áreas fronteiriças ou zonas de contato cultural onde há significativa presença de diferentes civilizações e ocorre uma "luta pelo controle do território".** | d | As linhas de cisão são as áreas fronteiriças onde ocorre a maior intensidade de choques intercivilizacionais e a luta pelo controle do território. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Huntington classifica a nova ordem mundial pós-Guerra Fria como: | Unipolar e monocivilizacional. | Bipolar e monocultural. | Unipolar e multicivilizacional. | **Multipolar e multicivilizacional.** | d | Huntington define a nova ordem mundial como “multipolar e multicivilizacional”, reconhecendo que os agrupamentos mais importantes de Estados são as grandes civilizações. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a principal diferença de importância que Huntington estabelece entre os conflitos **intra-civilizacionais** (como na Somália ou Ruanda) e os conflitos **inter-civilizacionais** (como na Caxemira ou Bósnia)? | Os conflitos intra-civilizacionais são mais perigosos, pois envolvem armas nucleares. | **Os conflitos intra-civilizacionais têm importância somente regional, ao passo que os conflitos inter-civilizacionais são os mais perigosos e têm repercussão global.** | Os conflitos inter-civilizacionais são mais fáceis de serem resolvidos pela ONU, por serem mais previsíveis. | Os conflitos intra-civilizacionais são sempre resolvidos pelos Estados-núcleos, garantindo a paz regional. | b | Os conflitos ou guerras intracivilizações teriam importância somente regional, ao passo que os intercivilizações são os mais perigosos e que têm repercussão global. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a principal função do **"Estado-núcleo de uma civilização"** na teoria de Huntington? | Substituir os Estados-nação e impor a hegemonia de uma única cultura. | Promover ativamente o enfraquecimento da coesão cultural para facilitar a democracia. | **Atuar como chefe e líder dos demais Estados daquele bloco, proporcionando-lhes apoio e disciplina, e mediando conflitos mundiais.** | Liderar a conversão dos demais Estados-núcleos aos valores ocidentais universais. | c | Os Estados-núcleos atuam como chefes e líderes, cuja função é proporcionar apoio e disciplina aos demais, e mediar conflitos mundiais. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Segundo Huntington, qual das civilizações listadas abaixo **carece de um Estado-núcleo** (líder) e, por isso, enfrenta maiores problemas para criar ordem interna e resolver disputas? | Ocidental. | Confuciana (Sínica). | **Islâmica.** | Eslava Ortodoxa. | c | Huntington afirma que a civilização africana, a islâmica e a latino-americana carecem de um Estado-núcleo. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual país Huntington identifica como o líder **inconteste** da civilização eslava ortodoxa? | Ucrânia. | Polônia. | Sérvia. | **Rússia.** | d | A Rússia é vista como um Estado dividido, mas o líder inquestionável da civilização eslava ortodoxa. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | No contexto do mundo islâmico, Huntington descreve esse bloco civilizacional como tendo: | Grande coesão, mas pouca percepção de si. | Falta de percepção de si, mas grande coesão. | **Percepção [de si], mas não coesão, estando dividido em centros de poder competitivos.** | Grande coesão, com a Turquia como seu líder inconteste. | c | O mundo islâmico está dividido em centros de poder competitivos e, segundo o autor, "tem percepção [de si] mas não coesão". | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a condição que Huntington sugere para que a **Turquia** possa desempenhar seu papel de liderança (Estado-núcleo) no mundo muçulmano? | O ingresso imediato na União Europeia. | O aumento de seu poderio militar nuclear. | **O abandono do seu caráter de Estado laico ou secular.** | A adoção de um sistema democrático nos moldes ocidentais. | c | Huntington sugere que a Turquia deveria abandonar seu caráter laico ou secular para voltar a desempenhar seu papel de liderança no mundo muçulmano. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | A respeito do Ocidente, Huntington manifesta preocupação com o seu "declínio relativo". Qual das seguintes métricas é citada para ilustrar esse declínio? | A queda na capacidade militar em comparação com a URSS (anterior a 1991). | O declínio da participação no comércio de serviços global após 1990. | **A queda na parcela ocidental do produto econômico mundial e nos efetivos militares globais após 1920.** | O declínio do número de Estados-membros da OTAN. | c | Huntington menciona que a parcela ocidental do produto econômico mundial e os efetivos militares ocidentais vêm declinando visivelmente após a Segunda Guerra Mundial e 1920, respectivamente. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a principal razão pela qual Huntington conclui que os Estados Unidos e a Europa devem se manter unidos? | Para garantir a supremacia econômica sobre a China e o Japão. | Para impor a democracia liberal em todas as civilizações. | **Porque os choques de civilizações, e não as disputas comerciais, representam a maior ameaça à paz mundial no século XXI.** | Para expandir o modelo do Estado-núcleo para a América Latina e a África. | c | Huntington conclui que EUA e Europa devem se manter unidos com base em laços culturais, pois os choques de civilizações são a maior ameaça à paz mundial. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual conceito de política externa Huntington propõe para os Estados Unidos, baseado na ideia de que se deve evitar intervir em conflitos de outras civilizações, mesmo em nome dos direitos humanos? | A Doutrina da Hegemonia Cultural. | A Regra da Mediação Conjunta. | A Política de Contenção (Containment). | **A Regra da Abstenção.** | d | A "regra da abstenção" é o termo usado por Huntington para sugerir que os EUA, como potência ocidental, devem se abster de intervir em conflitos de outras civilizações. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Segundo Huntington, o conceito de **"civilização universal"** é criticado por ser: | Uma ideologia apolítica que enfraquece o Ocidente. | Uma ferramenta desenvolvida pelo mundo islâmico para ganhar coesão. | **Um produto nítido da civilização ocidental, usado para confrontar outras sociedades e justificar o seu predomínio cultural.** | Uma inevitabilidade histórica comprovada pelo sucesso econômico. | c | Para Huntington, o conceito de universalismo é a ideologia do Ocidente utilizada para justificar o seu predomínio cultural sobre outras sociedades. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Para exemplificar o que Huntington chama de "realpolitik culturalista", qual postura ele sugere que os EUA deveriam adotar em relação à China e Taiwan? | Os EUA deveriam defender a independência de Taiwan em nome do valor universal da democracia. | Os EUA deveriam promover a mediação conjunta da ONU para evitar o conflito no Estreito de Taiwan. | **Não se deve intervir no desejo da China de anexar Taiwan, pois seria "inútil e até arrogante" impedir o destino de dominar a Ásia oriental.** | Os EUA deveriam impor sanções econômicas severas à China, sem envolver o poder militar. | c | Huntington sugere que não se deve intervir no desejo da China de anexar Taiwan, considerando a tentativa de impedir seu destino como "inútil e até arrogante". | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Qual é a principal crítica apontada contra a "realpolitik culturalista" de Huntington, conforme discutido no texto? | Ela ignora completamente a importância da economia na política internacional. | Ela é excessivamente idealista e não leva em conta os interesses nacionais. | **Ela legitima o abandono de qualquer universalismo (como a democracia) e permite a "desconsideração pelos direitos humanos" em culturas não ocidentais.** | Ela superestima o papel do Estado-nação em detrimento dos grupos tribais. | c | A principal crítica à *realpolitik* culturalista é que ela implica o abandono do universalismo, como os direitos humanos, em culturas não ocidentais. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | De acordo com um dissidente chinês citado no texto, qual é o futuro que se vislumbra para as civilizações, em contraposição à tese de Huntington? | Um futuro de conflitos culturais irreversíveis, com o triunfo do confucionismo. | **Uma era em que, através da interação e do consenso, as civilizações poderão se fundir para livrar os povos da pobreza e da escravidão.** | O triunfo definitivo do Ocidente, que imporia a democracia liberal universalmente. | O retorno ao modelo de dominação territorial da "Nova Idade Média". | b | O dissidente chinês é enfático ao afirmar que o futuro será uma era de fusão de civilizações através da interação e do consenso, e não de ênfase nas diferenças. | | |
| Novas Geopolíticas | Cap 2 | Choques culturais | Um dos críticos de Huntington argumenta que ele subestimou a força de certos movimentos em países não ocidentais. Que elementos Huntington teria subestimado, segundo essa crítica? | A força do militarismo russo e o expansionismo chinês. | A influência duradoura do poderio econômico norte-americano. | **A força da modernidade e do secularismo em lugares como a Índia e a Turquia.** | A capacidade da ONU de mediar conflitos intercivilizacionais. | c | Um especialista em estudos do Oriente Médio assinalou que Huntington subestimou a força da modernidade e do secularismo em lugares como a Índia, Argélia e Turquia. | | |
