| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A nova estratégia militar enfatiza as tecnologias de **precisão**, pois o objetivo principal não é mais exterminar o inimigo, mas sim conquistá-lo ou **enquadrá-lo** no mercado global. | A nova estratégia militar enfatiza o retorno aos meios de destruição em massa, pois o principal objetivo pós-Guerra Fria é exterminar o inimigo que não está integrado ao mercado global. | O foco mudou de meios de destruição em massa para tecnologias de precisão, visando conquistar ou inserir o inimigo no mercado global, em vez de exterminá-lo. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Países como Brasil, Argentina e África do Sul desistiram de ingressar no "clube atômico" nos anos 1990, enquanto China, Índia e Paquistão ainda insistem na manutenção de armas nucleares. | Os Estados Unidos e a Rússia intensificaram a fabricação de armas nucleares após a Guerra Fria, enquanto a Índia e o Paquistão desativaram seus programas nucleares sob pressão internacional. | Brasil, Argentina e África do Sul desistiram do propósito atômico nos anos 1990, e a insistência na fabricação de armas nucleares persiste em países como China, Índia e Paquistão. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A defesa no mundo pós-Guerra Fria é concebida como **"preventiva"** e não mais focada em um inimigo permanente e bem definido, mas sim em "possíveis ameaças" como grupos terroristas ou instabilidades regionais. | O entendimento da defesa pós-Guerra Fria retornou à emulação e ameaça de um inimigo único e bem definido, mantendo o estado de prontidão permanente típico da Guerra Fria. | A nova defesa é preventiva, focada em "possíveis ameaças" (grupos terroristas, crises inesperadas, instabilidades regionais), sem um inimigo estatal permanente e bem definido. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Nos Estados Unidos e em outros países, o alistamento obrigatório foi substituído pelo **engajamento voluntário** e pela busca por profissionais **altamente capacitados**, como engenheiros e analistas de sistema, para as Forças Armadas. | A concepção de soldado mudou para dar mais ênfase à força física e à habilidade militar tradicional, retomando o alistamento obrigatório, pois o conhecimento técnico é visto como secundário na guerra moderna. | Não existe mais alistamento obrigatório, mas sim engajamento voluntário e disputa por profissionais altamente capacitados (engenheiros, analistas) nas Forças Armadas, pois a informação é crucial. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A guerra do Golfo de 1991 demonstrou que a revolução técnico-científica expandiu-se para os meios militares, tornando a **informação**, o controle de qualidade e o *just-in-time* mais importantes do que a força bruta. | A Guerra do Golfo de 1991 provou que os armamentos teleguiados de precisão eram ineficazes e que a força bruta e a logística tradicional de grandes estoques continuavam a ser decisivas no campo de batalha. | A operação Tempestade no Deserto aprovou o conceito de armamentos "inteligentes", onde a informação, o controle de qualidade e o *just-in-time* se tornaram cruciais. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A posse de armamentos nucleares pelo Paquistão, China ou Índia serve, no máximo, para consolidar a soberania nacional, intimidando contra a intromissão, mas é improvável que tenha serventia para conquistas no jogo mundial de poder. | O "último trunfo" nuclear dessas nações é a principal ferramenta para a conquista de novos territórios e o domínio no jogo mundial de poder, superando as sanções econômicas. | É improvável que o armamento nuclear sirva para conquistas no jogo de poder, sendo útil apenas para consolidar a soberania nacional ("Eu não sou um Estado fraco"). | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | A expansão das redes de televisão e das imagens de satélite gerou o chamado **"efeito CNN"** (ou "ideologia da comunicação"), que influencia a percepção do público e tem peso nas decisões de política internacional. | O aumento da cobertura midiática por redes de televisão (efeito CNN) não tem impacto nas decisões políticas, pois a estratégia militar é imune à opinião pública. | O "efeito CNN" ou "ideologia da comunicação" alterou a política internacional ao influir e moldar a percepção do público sobre os problemas, tendo peso nas decisões políticas. | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | Existe um potencial de conflito entre o Estado (segurança militar) e o mercado/sociedade civil, pois o Estado busca controlar informações estratégicas, enquanto o mercado e o público consumidor defendem a **liberdade total de restrições**. | O Estado e o complexo militar-industrial estão totalmente alinhados com o mercado e a sociedade civil, e não há conflitos em relação ao controle da informação estratégica (Internet). | O potencial de conflito opõe o lado que pretende controlar as informações (Estado/complexo militar) e o lado que defende a total liberdade (mercado/público consumidor). | | |
| Novas Geopolíticas | Cap 5 | Redefinições Geoestratégicas | **Kissinger e Brzezinski** compartilham a recusa do idealismo na política externa, defendendo o **realismo** que consiste na defesa dos interesses americanos por meio de valores relativos. | Kissinger e Brzezinski identificam-se com o idealismo, defendendo que a política externa deve ser comandada por ideais de democracia e "a luta entre o bem e o mal". | Ambos recusam o idealismo e se identificam com o realismo, que consiste na defesa dos interesses americanos por meio de valores relativos, e não por ideais universais. | | |
