| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 49| Cap. 3 – O conceito de Estado | O Estado nacional atual é uma corporação territorial de um povo, constituída como nação, que se realiza por um ordenamento jurídico complexo. | O Estado nacional atual se baseia primariamente no parentesco e se realiza sem um ordenamento jurídico complexo, focando apenas na pessoa do governante. | O Estado nacional é uma corporação territorial de um povo constituído como nação, que se estabelece através de um ordenamento jurídico. | | |
| Ciência Política | Pág 49 | Cap. 3 – O conceito de Estado | O Estado constitui um complexo de instituições por meio das quais o poder da sociedade se organiza em uma base superior ao parentesco. | O Estado é uma organização social cuja base principal e superior de organização de poder é o parentesco e a linhagem familiar. | O Estado se organiza sobre uma base superior ao parentesco, sendo um complexo de instituições. | | |
| Ciência Política | Pág 50 | Cap. 3 – O conceito de Estado | O Estado moderno reivindica para si o monopólio legítimo da coação física dentro de um determinado território. | O Estado moderno deve ceder o uso exclusivo da força a grupos privados e militares, pois a coação física não é uma prerrogativa legítima do governo. | O Estado reivindica com êxito o monopólio legítimo da coação física dentro de um determinado território. | | |
| Ciência Política | Pág 51 | Cap. 3 – O conceito de Estado | Para Jellinek, o Estado está inserido no mundo real em sentido objetivo, tendo existência fora de nós e desenvolvendo-se no tempo e no espaço. | Jellinek defendia que a existência do Estado é puramente subjetiva e conceitual, pertencendo à ordem do espírito, sem existência fora da mente. | Jellinek entende o Estado como parte do mundo real dos fatos em sentido objetivo, com existência fora da mente dos indivíduos. | | |
| Ciência Política | Pág 51 | Cap. 3 – O conceito de Estado | Para Georges Burdeau, o Estado não pertence à fenomenologia tangível, sendo da ordem do espírito e existindo unicamente por ser pensado (ideia). | Burdeau afirma que o Estado é um complexo institucional totalmente tangível, que se manifesta exclusivamente em suas ações e órgãos materiais. | Burdeau conceitua o Estado como uma ideia, uma abstração, que não tem outra realidade além da conceitual. | | |
| Ciência Política | Pág 51 | Cap. 3 – O conceito de Estado | O Estado deve ser compreendido tanto como pertencente ao mundo real dos fatos (tangível) quanto como uma ideia (intangível, abstração). | A presença do Estado nas sociedades modernas é totalmente tangível, podendo ser percebida como um todo integrado, sem a necessidade de elementos conceituais ou esparsos. | O Estado é tangível (ações, órgãos) e intangível (ideia, abstração), e só pode ser percebido através de elementos esparsos, não como um todo integrado. | | |
| Ciência Política | Pág 51 | Cap. 3 – O conceito de Estado | Diferentemente de outras organizações sociais, o Estado se institui como um fim em si mesmo, garantindo o cumprimento de outros fins sociais. | O Estado é apenas um meio instrumental para unificar as ações dos indivíduos, não possuindo um fim em si mesmo, tal como as empresas da sociedade civil. | O Estado se institui como um fim em si mesmo e não apenas como um meio, garantindo o cumprimento dos outros fins sociais. | | |
| Ciência Política | Pág 52 | Cap. 3 – O conceito de Estado | Para Jellinek, o Estado possui um poder de mando ilimitado e incondicionado de vencer todas as demais vontades na sociedade. | Jellinek considerava que o poder de mando do Estado é limitado e condicionado, pois deriva juridicamente seu poder de todas as associações inferiores que o compõem. | Jellinek afirma que o Estado tem poder de mando ilimitado, incondicionado, e recebe sua força originariamente de si mesmo. | | |
| Ciência Política | Pág 52 | Cap. 3 – O conceito de Estado | O conceito de Estado, como é utilizado hoje e por organizações internacionais, tem sua origem no século XVI, com a formação do Estado moderno. | O conceito de Estado moderno surgiu no século XVIII, com a Revolução Francesa, sendo a *polis* grega a base para sua forma e nomenclatura atuais. | O conceito de Estado tal como usado hoje teve sua origem no século XVI, com a formação do Estado moderno. | | |
