| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Ciência Política | Pág 139 | Cap. 6 – As funções do Estado | A divisão horizontal de poderes (Executivo, Legislativo e Judiciário) busca garantir a colaboração e o controle recíproco, evitando a concentração de poder em um único órgão. | A divisão horizontal de poderes visa a concentrar o poder no Legislativo, eliminando o controle recíproco para garantir a eficiência estatal. | A divisão horizontal dos poderes atua para evitar a concentração de poder através da colaboração e do controle recíproco entre os órgãos. |
| Ciência Política | Pág 139 | Cap. 6 – As funções do Estado | Dada a complexidade da sociedade atual, há uma tendência de incluir, junto à divisão horizontal, uma divisão vertical consistindo na descentralização territorial do poder. | A divisão vertical é considerada obsoleta no Estado moderno, sendo a concentração de poder na esfera central a única forma de lidar com a complexidade social. | Uma das tendências é incluir uma divisão vertical, ou seja, uma descentralização territorial do poder, devido à complexidade da sociedade. |
| Ciência Política | Pág 139 | Cap. 6 – As funções do Estado | O pleno desenvolvimento das funções estatais requer a segurança jurídica do Estado de direito, o incentivo à participação dos cidadãos e a clareza das regras. | O pleno desenvolvimento das funções estatais só depende de regras claras, sendo a participação cidadã e o Estado de direito fatores que dificultam sua atuação. | O desenvolvimento pleno das funções estatais exige segurança jurídica (Estado de direito), incentivo à participação dos cidadãos e regras claras e acessíveis. |
| Ciência Política | Pág 139 | Cap. 6 – As funções do Estado | O principal desafio da reforma do Estado é passar de um sistema estruturado com base no princípio autoritário e hierárquico para um sistema pluralista e flexível de tomada de decisões. | A reforma do Estado deve preservar o princípio autoritário e hierárquico para evitar o risco de desordem democrática no processo de tomada de decisões. | O objetivo da reforma é transformar o Estado de um sistema autoritário para um sistema pluralista e flexível de tomada de decisões. |
| Ciência Política | Pág 140 | Cap. 6 – As funções do Estado | O governo (em sentido restrito) é comumente denominado Poder Executivo e constitui o sujeito principal da ação política, atualizando e orientando a ação política do Estado. | O governo (em sentido restrito) refere-se ao Poder Judiciário, sendo o órgão encarregado unicamente de resolver conflitos e não de orientar a ação política. | O governo, num sentido mais restrito, denomina-se Poder Executivo, e constitui o sujeito principal da ação política, orientando-a. |
| Ciência Política | Pág 140 | Cap. 6 – As funções do Estado | Os governantes são aqueles que, tendo recebido competência para gerir os negócios públicos, tomam as decisões iniciais e detêm o exercício da força coercitiva. | Os governantes se limitam a executar decisões tomadas por agentes externos ao Estado, não possuindo o poder de decidir ou o exercício da força coercitiva. | Governantes tomam as decisões iniciais, gerem negócios públicos e detêm o poder de decidir e o exercício da força coercitiva. |
| Ciência Política | Pág 141 | Cap. 6 – As funções do Estado | Segundo Burdeau, os governantes são órgãos do Estado (seus atos são imputados ao Estado) e, ao mesmo tempo, representantes do soberano (da vontade dos que detêm a maior força). | Burdeau defendia que os governantes são apenas agentes de sua própria vontade, e seus atos não podem ser imputados ao Estado como entidade abstrata. | Os governantes são órgãos do Estado (atos imputados ao Estado) e representantes do soberano (da força política preponderante). |
| Ciência Política | Pág 141 | Cap. 6 – As funções do Estado | Burdeau critica a concentração da totalidade do poder na pessoa dos governantes, pois o poder do Estado permanece estável, acima da vontade deles. | A observação nos ensina que, no Estado, a totalidade do poder está sempre concentrada na pessoa dos governantes, que são o soberano. | Burdeau critica a concentração total do poder nos governantes, pois há um soberano (poder do Estado) estável que goza de autonomia. |
| Ciência Política | Pág 141 | Cap. 6 – As funções do Estado | Se um órgão de governo transgride as normas de sua competência, incorre em desvio de poder; se ultrapassa as esferas de sua função, cai no vício de excesso de poder. | A transgressão das normas de competência é denominada excesso de poder, e o desvio de poder ocorre quando há omissão no cumprimento da função. | Transgredir as normas de competência é desvio de poder, e ultrapassar as esferas de função é vício de excesso de poder. |
| Ciência Política | Pág 142 | Cap. 6 – As funções do Estado | Jellinek considera as três funções materiais do Estado como o Legislativo, o Jurídico e a Administração. | Jellinek considera as três funções materiais do Estado como o Executivo, o Judiciário e o Federativo. | Jellinek considera as três funções materiais do Estado como o Legislativo, o Jurídico e a Administração. |
| Ciência Política | Pág 142 | Cap. 6 – As funções do Estado | No Estado de direito, o Parlamento garante a “legalidade” das normas através do debate, votação e expedição da lei, sendo o Executivo apenas um órgão de aplicação prática. | No Estado de direito, o Executivo é o órgão principal para garantir a legalidade das normas, podendo o Parlamento apenas vetar as leis por tempo determinado. | O Parlamento garante a legalidade das normas através do debate e expedição da lei com base em atribuições constitucionais. |
