| bibliografia_titulo | paginas | assunto | pergunta | alternativa_a | alternativa_b | alternativa_c | alternativa_d | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Economia Azul | Pág 231 | Relevância do PEM para a Economia Azul | Qual autor, em 1883, expressou o equívoco de que as riquezas do mar seriam "inesgotáveis", convicção que permaneceu por várias décadas? | Alfred Mahan | Thomas Huxley | Milton Santos | Jorge Pablo Castelo | b | Thomas Huxley, em 1883, durante uma conferência na Real Sociedade Britânica, afirmou que as riquezas do mar eram inesgotáveis. |
| Economia Azul | Pág 232 | Relevância do PEM para a Economia Azul | Segundo a oceanopolítica de Mahan para o desenvolvimento de potências marítimas, quais dois elementos permanecem fundamentais para o fomento do mar como fonte de desenvolvimento e poder? | O Poder Naval e a capacidade tecnológica. | O caráter do governo e o caráter da população. | A aquisição de entrepostos comerciais e o desenvolvimento do comércio terrestre. | A diversificação das matrizes energéticas e a conservação da biodiversidade. | b | O caráter do governo e o caráter da população são citados como os dois elementos mais importantes da oceanopolítica de Mahan que permanecem atuais. |
| Economia Azul | Pág 232 | Relevância do PEM para a Economia Azul | Qual percentual das exportações brasileiras é transportado pelo modal marítimo, destacando a relevância do mar para a economia nacional? | 50% | 71% | 85% | 95% | d | O Brasil transporta 95% das suas exportações pelo modal marítimo. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | Qual organização define o Planejamento Espacial Marinho (PEM) como um processo público de análise e alocação da distribuição espacial e temporal de atividades humanas em áreas marinhas? | Organização Marítima Internacional (OMI). | Organização para a Cooperação e Desenvolvimento Econômico (OCDE). | Comissão Oceanográfica Intergovernamental (COI), no âmbito da UNESCO. | Organização das Nações Unidas (ONU). | c | O PEM é definido pela COI, estabelecida no âmbito da UNESCO, como um processo público de análise e alocação de atividades humanas. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | Qual característica de um PEM eficaz envolve o aprendizado contínuo e a capacidade de incorporar mudanças, reconhecendo que o processo não é estritamente linear? | Espacialmente explícito. | Baseado em ecossistemas. | Estratégico e antecipatório. | Adaptativo. | d | O PEM deve ser Adaptativo, ou seja, capaz de aprender com a experiência e aberto para acomodar as mudanças que surgirem. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | Segundo a sistematização da UNESCO, qual é o 7º passo do processo de condução do PEM? | Obter suporte financeiro. | Organizar o processo por meio do pré-planejamento. | Preparar e aprovar o Plano de Gestão Espacial Marinho. | Monitorar e avaliar o desempenho. | c | O passo 7 do processo de PEM da UNESCO é Preparar e aprovar o Plano de Gestão Espacial Marinho. |
| Economia Azul | Pág 233 | Relevância do PEM para a Economia Azul | A premissa central do Planejamento Espacial Marinho (PEM), conforme definido pela COI-UNESCO, é que o planejamento e o gerenciamento se aplicam a que elemento? | Aos ecossistemas marinhos, incluindo seus componentes biológicos. | Aos recursos vivos e não vivos. | Às atividades humanas em áreas marinhas. | Às alterações climáticas globais. | c | Só podem ser planejadas e gerenciadas as atividades humanas em áreas marinhas, não os ecossistemas marinhos ou seus componentes. |
| Economia Azul | Pág 234 | Relevância do PEM para a Economia Azul | Qual das seguintes atividades econômicas exemplifica a tendência de migração de atividades desenvolvidas em terra para as dimensões do mar? | Exploração de hidrelétricas *onshore*. | Cultivo de algas marinhas (*algacultura*) de alto valor. | Navegação em rios interiores. | Mineração de ferro em terra. | b | O avanço da algacultura (cultivo de algas marinhas de alto valor) é citado como exemplo da migração de atividades econômicas para o mar. |
| Economia Azul | Pág 235 | Relevância do PEM para a Economia Azul | O zoneamento dos espaços marinhos feito de forma isolada, setor por setor, tem levado a dois tipos principais de conflitos. Quais são eles? | Conflitos climáticos e conflitos biológicos. | Conflitos estatais e conflitos transnacionais. | Conflitos usuário-usuário e conflitos usuário-ambiente. | Conflitos de segurança e conflitos geopolíticos. | c | Os dois tipos principais de conflitos resultantes do zoneamento isolado são conflitos entre usos humanos (usuário-usuário) e conflitos entre usos humanos e o meio ambiente marinho (usuário-ambiente). |
| Economia Azul | Pág 236 | Relevância do PEM para a Economia Azul | Qual é um dos principais benefícios econômicos do PEM que o torna o "motor propulsor" da Economia Azul, indispensável aos investidores? | O aumento dos impostos sobre atividades marítimas. | O incentivo à bioprospecção exclusiva de potências centrais. | A redução de incertezas jurídicas e a transparência nos procedimentos. | A restrição total de novas atividades *offshore*. | c | O PEM provê a redução de incertezas jurídicas, indispensável aos investidores, sendo considerado o motor propulsor da Economia Azul. |
| Economia Azul | Pág 236 | Relevância do PEM para a Economia Azul | O PEM surgiu originalmente como uma abordagem de gestão para a conservação da natureza em qual local, há mais de 40 anos? | Zona Econômica Exclusiva (ZEE) do Chile. | Parque Marinho da Grande Barreira de Corais, Austrália. | Mar Territorial da União Europeia. | Zona Contígua do Uruguai. | b | O PEM começou como uma abordagem de gestão para a conservação da natureza no Parque Marinho da Grande Barreira de Corais, na Austrália. |
