| bibliografia_titulo | paginas | assunto | afirmacao_verdadeira | afirmacao_falsa | resposta_correta | justificativa_resposta_certa | caiu_em_prova | ano_prova |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| Princípios de Relações Internacionais | Cap XI | Contexto | O advento da conteinerização padronizada, popularizada em 1956, foi crucial para a redução dos custos de transporte internacional e facilitou a terceirização da produção para países com mão de obra mais barata. | A conteinerização aumentou significativamente os custos de logística internacional, tornando a terceirização da produção para o exterior menos lucrativa. | true | A conteinerização tornou o processo de movimentação de carga internacional relativamente barato, possibilitando a transferência da produção para o exterior. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | As novas tecnologias, como navios porta-contêiner, telefones celulares e a internet, tornaram o mundo funcionalmente menor, transformando problemas antes limitados pela geografia em questões transnacionais compartilhadas. | Apesar do avanço tecnológico, os problemas ambientais, de saúde e criminalidade permanecem estritamente limitados pela geografia e pelo clima, como no passado. | true | As tecnologias de transporte e comunicação "encolheram" o mundo funcionalmente, fazendo com que problemas como meio ambiente, saúde e criminalidade se tornem transnacionais. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | A capacidade dos atores não estatais de disputar ou interferir no poder dos Estados é um fenômeno novo e pressagia uma significativa mudança no equilíbrio de poder internacional. | A importância e capacidade de interferência dos atores não estatais na política internacional têm sido constantes e não representam uma novidade histórica em termos de desafio ao poder estatal. | true | A capacidade dos atores não estatais de disputar o poder dos Estados é considerada nova e representa uma significativa mudança de poder. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O conceito de **bens coletivos** ajuda a entender as questões ambientais, pois reflete a dificuldade de obter benefícios compartilhados quando superados os interesses individuais conflitantes, como na tragédia dos comuns. | O conceito de bens coletivos é irrelevante para as questões ambientais, pois se aplica apenas a recursos puramente individuais e não a recursos compartilhados como ar e água. | true | A noção de bens coletivos é essencial para entender as questões ambientais, ajudando a refletir sobre como obter benefícios compartilhados ao superar interesses individuais. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | Uma das principais dificuldades na proteção ambiental é que, como os custos dos danos são difundidos no espaço e no tempo, enquanto os benefícios da poluição são concentrados, existe um forte estímulo individual para o "abuso" dos recursos. | A principal dificuldade em proteger o meio ambiente reside no fato de que os custos da restrição são amplamente difundidos, ao passo que os benefícios ambientais são concentrados em grupos específicos. | true | A poluição e o consumo insustentável são estimulados porque os custos do dano são difundidos no espaço e no tempo, e os benefícios do consumo são concentrados, levando à lógica de "abusar" dos recursos. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O princípio de **nenhum dano significativo** estabelece que um Estado não pode adotar políticas que causem danos ambientais notáveis a outro, sendo um princípio fundamental do direito consuetudinário internacional. | O princípio de nenhum dano significativo é uma norma de "quase-direito" que, embora discutida em conferências, não possui caráter vinculante no direito consuetudinário internacional. | true | O princípio do nenhum dano significativo é um princípio fundamental que evoluiu no direito consuetudinário internacional. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O caso da destruição da camada de ozônio é considerado uma história de sucesso ambiental, pois os Estados agiram antes que a crise se aprofundasse, desenvolvendo substitutos e revertendo o problema. | A destruição da camada de ozônio (CFCs) é um exemplo de fracasso na cooperação global, pois os esforços para sua reversão não geraram resultados significativos e o buraco continua aumentando anualmente. | true | Os Estados reconheceram o problema do ozônio (CFCs) antes da crise, agiram com medidas fortes e o resultado foi a reversão da perda da camada de ozônio. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | A principal diferença entre a resposta ao buraco de ozônio e à mudança climática é que, no aquecimento global, não há substitutos de baixo custo para os processos emissores, e os custos de redução são altos e imediatos, enquanto os benefícios são difusos e futuros. | As negociações sobre mudança climática foram mais bem-sucedidas do que as sobre o ozônio, pois os custos de redução de emissões eram baixos e os benefícios, imediatos e concentrados. | true | A mudança climática é mais complexa porque os custos de redução das emissões são altos e imediatos, e os benefícios são difusos e se manifestarão apenas em décadas. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O Realismo, ao analisar o problema da mudança climática, manifestou preocupação com o fato de o Protocolo de Kyoto conceder vantagem econômica à China (país não democrático), prejudicando o equilíbrio de poder no Leste Asiático. | A administração Bush apoiou plenamente o Protocolo de Kyoto, vendo nele uma oportunidade para os Estados Unidos liderarem a transição para uma economia global de baixo carbono. | true | A administração Bush se opôs a Kyoto, alegando que daria uma vantagem econômica injusta a economias em rápido desenvolvimento como a China, prejudicando os interesses de segurança dos EUA no Leste Asiático. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O derretimento do gelo no Ártico, causado pelo aquecimento global, tornou as águas navegáveis e o acesso a recursos minerais (incluindo petróleo) viável, gerando uma intensa disputa territorial entre os Estados limítrofes. | O derretimento do Ártico não alterou o padrão de navegação nem o acesso a recursos, pois os tratados internacionais existentes já regulamentavam plenamente a exploração mineral e a travessia na região. | true | O recuo do gelo no Ártico abriu novas rotas e o acesso a recursos minerais, intensificando a disputa e as reivindicações dos sete Estados que fazem fronteira com o Círculo Polar Ártico. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | Lênin (perspectiva Radical) argumentava que a busca inevitável por novas fontes de matérias-primas era uma das causas do imperialismo e, consequentemente, da guerra entre Estados capitalistas. | Lênin considerava que o imperialismo era causado unicamente por disputas ideológicas e não tinha relação direta com a busca por recursos naturais ou matérias-primas por Estados capitalistas. | true | Lênin postulou que o imperialismo era motivado pela busca inevitável de recursos e mercados externos pelos Estados capitalistas, o que levava à guerra. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O Dilema de Malthus postula que o crescimento populacional, se não for controlado (progressão geométrica), superará o crescimento dos recursos alimentares (progressão aritmética). | O Dilema de Malthus sugere que a produção de alimentos cresce em progressão geométrica, enquanto a população cresce em progressão aritmética, garantindo a autossuficiência. | true | Malthus argumentou que a população cresce geometricamente (1, 2, 4, 8...), superando o crescimento aritmético dos recursos alimentares (1, 2, 3, 4...). | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O crescimento populacional não é homogêneo, sendo 98% do crescimento concentrado nos países em desenvolvimento (Sul), que apresentam taxas de fertilidade mais altas que o Norte desenvolvido. | As taxas de crescimento populacional são uniformemente distribuídas entre o Norte e o Sul, com a maior parte do aumento populacional ocorrendo nos países desenvolvidos. | true | 98% do crescimento populacional mundial estão concentrados nos países em desenvolvimento, resultando em uma divisão demográfica entre o Norte rico e o Sul pobre. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O HIV/AIDS foi reconhecido pelo Conselho de Segurança da ONU em 2000 como uma ameaça à segurança global, sendo a primeira vez que um problema de saúde foi classificado como tal. | O Conselho de Segurança da ONU nunca classificou um problema de saúde, como o HIV/AIDS, como uma ameaça à segurança global, limitando-se a considerá-lo uma crise humanitária. | true | Em 2000, o Conselho de Segurança da ONU classificou o HIV/AIDS como uma ameaça à segurança global. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | A controvérsia sobre os medicamentos antirretrovirais (ARVs) se deu porque as companhias farmacêuticas multinacionais aplicavam preços altos, e as normas da OMC sobre propriedade intelectual impediam a comercialização internacional de genéricos mais baratos. | As companhias farmacêuticas foram elogiadas por fornecerem ARVs gratuitamente ao mundo em desenvolvimento, facilitando o acesso ao tratamento sem restrições de patentes. | true | O alto custo dos ARVs e a violação das normas da OMC por genéricos indianos e brasileiros geraram grande controvérsia sobre propriedade intelectual e direitos humanos. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | O narcotráfico é difícil de combater porque, mesmo que se destruam plantações (oferta), os custos baixos de transporte permitem a rápida substituição das fontes em outros lugares, e a produção contribui significativamente para o PIB de alguns países. | O narcotráfico é facilmente solucionado cortando o fornecimento, pois a destruição de plantações em um único país é suficiente para eliminar o problema globalmente. | true | A "guerra" contra as drogas não pode ser vencida porque os baixos custos de transporte de grandes quantidades tornam fácil substituir as plantações destruídas, e a produção é vital para as economias de fornecedores. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | A China é descrita como o país mais abrangente, sofisticado e bem-sucedido na prática da ciberespionagem, causando perdas estimadas entre US$ 800 milhões e US$ 1 bilhão em propriedade intelectual por ano. | A Rússia é inequivocamente o único país envolvido em ciberespionagem corporativa, enquanto a China se concentra apenas no cibervandalismo. | true | Embora vários Estados pratiquem ciberespionagem, a China é apontada como a mais abrangente e bem-sucedida, responsável por 95% dos ataques relatados. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | As questões transnacionais desafiam a soberania tradicional do Estado, pois, pela sua natureza, exigem uma resposta multinacional, não podendo ser resolvidas apenas por Estados individuais, por mais poderosos que sejam. | A soberania do Estado não é afetada por questões transnacionais, que permanecem inteiramente sob o controle das autoridades estatais internas. | true | A ascensão de atores não estatais e as forças da globalização (incluindo questões transnacionais) minaram os ideais vestfalianos da soberania do Estado, exigindo respostas multinacionais. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | Realistas têm adaptado sua teoria, estendendo o discurso de segurança para incluir aspectos da **segurança humana** (econômica, ambiental, saúde), além da segurança física tradicional do Estado. | Os realistas, mantendo-se fiéis aos seus preceitos tradicionais, recusam-se a incorporar conceitos como segurança humana, focando exclusivamente na segurança física militar do Estado. | true | A perda de importância da guerra interestatal e nuclear forçou os realistas a ampliar o discurso de segurança para abranger aspectos da segurança humana. | | |
| Princípios de Relações Internacionais | Cap XI | Contexto | **Governança global** é definida como a coordenação de interesses e necessidades pelos atores internacionais, por meio de várias estruturas e processos, na ausência de uma autoridade política unificadora (governo mundial). | Governança global implica a criação de um governo mundial centralizado e unificado, que impõe regras e procedimentos decisórios a todos os Estados-membros. | true | Governança global é a coordenação de interesses e necessidades na ausência de uma autoridade política unificadora. | | |
