bibliografia_titulo	paginas	assunto	afirmacao_verdadeira	afirmacao_falsa	resposta_correta	justificativa_resposta_certa	caiu_em_prova	ano_prova
Bibliografia 1 – Raízes		Definição de Geopolítica	A Geopolítica é um ramo da ciência política, resultado da interação dinâmica da Geografia, Política e da História, e é conceituada como "A política aplicada aos espaços geográficos sob a inspiração da expediência histórica".	A Geopolítica é um ramo da ciência geográfica, focada apenas na influência da História e do Meio Físico, excluindo a dimensão política.	true	A Geopolítica é um ramo da Ciência Política resultante da interação dinâmica de Geografia, Política e História.		
Bibliografia 1 – Raízes		Origem da Geopolítica	A Geopolítica é o produto da evolução da observação gradual da ação do homem na exploração do meio natural.	A Geopolítica é o produto da evolução da observação gradual da ação da natureza na exploração dos recursos pelo homem.	true	A Geopolítica é o produto da observação gradual da ação do homem na exploração do meio natural.		
Bibliografia 1 – Raízes		Método Científico da Geopolítica	Galileu, em seu livro "Discorsi i Dimonstrazioni Mathematiche", desenvolveu a Teoria do Método Experimental, fundamental para o caminho científico da Geopolítica.	Francis Bacon, em seu livro "Novum Organon", desenvolveu a Teoria do Método Experimental.	true	Galileu desenvolveu a Teoria do Método Experimental em "Discorsi i Dimonstrazioni Mathematiche".		
Bibliografia 1 – Raízes		Consagração Científica	A obra clássica de Francis Bacon, "Novum Organon" (1620), abriu a porta para a consagração científica das Ciências Sociais.	A obra de Francis Bacon, "Filosofia da História", abriu a porta para a consagração científica das Ciências Sociais.	true	Francis Bacon lançou "Novum Organon" em 1620, o que abriu a porta para a consagração científica das Ciências Sociais.		
Bibliografia 1 – Raízes		Contribuições Antigas	O historiador grego Heródoto fez observações sobre a influência do clima e do solo no progresso dos grupos humanos.	Hipócrates foi o historiador grego que fez observações sobre a influência do clima e do solo no progresso dos grupos humanos.	true	Heródoto fez observações sobre a influência do clima e da natureza do solo no progresso dos grupos humanos.		
Bibliografia 1 – Raízes		Populações Litorâneas e Interioranas	Platão e Aristóteles indicaram as vantagens e desvantagens das populações serem litorâneas ou interioranas.	Heródoto e Estrabão indicaram as vantagens e desvantagens das populações litorâneas ou interioranas.	true	Platão e Aristóteles indicaram as vantagens e desvantagens das populações quando litorâneas ou interioranas.		
Bibliografia 1 – Raízes		Geopolítica Antiga	Estrabão indicou a posição geográfica da Itália como fator importante para o sucesso do Império Romano.	Jean Bodin, na antiguidade, indicou a posição geográfica da Itália como fator importante para o sucesso do Império Romano.	true	Estrabão, na sua Geografia, indica a posição geográfica da Itália como fator importante para o sucesso do Império Romano.		
Bibliografia 1 – Raízes		Idade Média	Jean Bodin fez uma tentativa pré-científica de ordenação do pensamento geográfico-político, valorizando a relação Estado-meio físico.	Emmanuel Kant fez uma tentativa pré-científica de ordenação do pensamento geográfico-político na Idade Média.	true	Na Idade Média, Jean Bodino surge com a tentativa pré-científica de ordenação do pensamento geográfico-político.		
Bibliografia 1 – Raízes		"Base Geográfica da História"	Hegel, em seu livro "Filosofia da História", dedicou um capítulo inteiro à "Base Geográfica da História".	Montesquieu, em seu livro "Filosofia da História", dedicou um capítulo inteiro à "Base Geográfica da História".	true	Hegel, no seu livro "Filosofia da História", dedica um capítulo inteiro à "Base Geográfica da História".		
Bibliografia 1 – Raízes		Sentença Famosa (Napoleão)	Napoleão Bonaparte sentenciou a famosa frase: "A Geografia indica o destino das nações".	Friedrich Ratzel sentenciou a famosa frase: "A Geografia indica o destino das nações".	true	Napoleão Bonaparte sentenciou: "A Geografia indica o destino das nações".		
