bibliografia_titulo;paginas;pergunta;afirmacao;resposta_correta;justificativa_resposta_certa;caiu_em_prova;ano_prova
tabela_ri.md;5;Filósofos Clássicos e Marxismo;De acordo com a teoria das relações internacionais, **Platão** introduziu a análise de classe e o raciocínio dialético, que se tornaram bases para analistas marxistas.;true;Platão é o filósofo que introduziu a análise de classe e o raciocínio dialético, que se tornaram bases para o Marxismo nas Relações Internacionais.;true;2024
tabela_ri.md;5;Filósofos Clássicos e Marxismo;De acordo com a teoria das relações internacionais, **Aristóteles** introduziu a análise de classe e o raciocínio dialético, que se tornaram bases para analistas marxistas.;false;A introdução da análise de classe e do raciocínio dialético é atribuída a Platão, e não a Aristóteles, conforme a fonte.;true;2024
tabela_ri.md;5;Aristóteles e o Método Comparativo;**Aristóteles** foi o primeiro filósofo a utilizar o método comparativo de análise em estudos que influenciaram as relações internacionais.;true;O filósofo Aristóteles foi o pioneiro no uso do método comparativo de análise em estudos que influenciaram a área de Relações Internacionais.;true;2024
tabela_ri.md;5;Aristóteles e o Método Comparativo;O filósofo **Platão** foi o primeiro a utilizar o método comparativo de análise em estudos que influenciaram as relações internacionais.;false;Aristóteles, e não Platão, é o filósofo citado por ter sido o primeiro a utilizar o método comparativo de análise influente em RI.;true;2024
tabela_ri.md;5;Conceito-Chave: Realismo e Neorrealismo;O conceito-chave do Realismo (e do Neorrealismo) é o **Equilíbrio de Poder**.;true;O Equilíbrio de Poder é definido como o conceito-chave central para o Realismo e sua variante Neorrealista.;true;2024
tabela_ri.md;5;Conceito-Chave: Realismo e Neorrealismo;O conceito-chave do Realismo (e do Neorrealismo) são as **Instituições colaborativas**.;false;O conceito-chave do Realismo é o Equilíbrio de Poder, enquanto as Instituições colaborativas são o conceito-chave do Liberalismo.;true;2024
tabela_ri.md;5;Conceito-Chave: Construtivismo;O conceito-chave do Construtivismo é o **Poder das Ideias**.;true;Para o Construtivismo, as ideias, normas e identidades intersubjetivas (Poder das Ideias) são o conceito central.;true;2024
tabela_ri.md;5;Conceito-Chave: Construtivismo;O conceito-chave do Construtivismo é a **Luta de Classes**.;false;A Luta de Classes é o conceito-chave das teorias radicais (marxistas), não sendo central para o Construtivismo.;true;2024
tabela_ri.md;5;Hobbes e o Estado de Natureza;Segundo Thomas Hobbes em "O Leviatã", a vida no estado de natureza é anárquica e uma existência **“solitária, pobre, sórdida, brutal e curta”**.;true;Hobbes descreve o estado de natureza como uma condição de insegurança constante, anárquica e "solitária, pobre, sórdida, brutal e curta".;true;2024
tabela_ri.md;5;Hobbes e o Estado de Natureza;Segundo Thomas Hobbes em "O Leviatã", a vida no estado de natureza é pacífica e cooperativa, focada na **autopreservação mútua** e na ordem social.;false;Hobbes descreveu a vida no estado de natureza como brutal e anárquica, necessitando de um poder absoluto (Leviatã) para garantir a ordem e a segurança.;true;2024
