"Qual é a definição de guerra naval, segundo o documento?","É a parte constituída por ações militares conduzidas nos espaços marítimos, águas interiores e áreas terrestres limitadas de interesse, incluindo o espaço aéreo sobrejacente."
O que é um Teatro de Operações (TO)?,"É o espaço geográfico necessário à condução de operações militares para o cumprimento de uma missão, englobando o apoio logístico."
Quem estabelece inicialmente os limites de um Teatro de Operações (TO)?,Os limites são estabelecidos por ocasião do planejamento estratégico para uma determinada Hipótese de Emprego (HE).
Quem pode autorizar a alteração dos limites de um Teatro de Operações (TO)?,"O Comandante Supremo (CS), mediante solicitação do Comandante do Teatro de Operações (ComTO)."
Quando é estabelecida uma Área de Operações (AOp) em vez de um Teatro de Operações (TO)?,Quando a magnitude dos meios e a complexidade das ações não justificarem a criação de um TO.
Como são empregadas as Forças de Fuzileiros Navais em operações?,"São empregadas em Grupamento Operativo de Fuzileiros Navais (GptOpFuzNav), uma organização por tarefas."
Quais são os componentes que um Grupamento Operativo de Fuzileiros Navais (GptOpFuzNav) integra?,"Integra componentes de combate terrestre, combate aéreo, apoio de serviços de combate, e um componente de comando."
"Na guerra naval, o que são operações de apoio?",São operações conduzidas por forças não integrantes da que executa a operação principal.
"Em operações componentes ou de apoio, a quem caberá o controle operativo local se as relações de comando não forem especificadas?","Caberá, em princípio, ao Comandante mais antigo."
A Operação de Ataque é realizada para executar quais tarefas? (Cite duas),Destruir/neutralizar forças; interditar comunicações terrestres; reduzir resistência em área terrestre; ou destruir/danificar objetivos em terra e ao largo do litoral.
Quando uma Operação de Ataque caracteriza uma projeção de poder?,Quando é realizada contra objetivos em terra.
"Qual tipo de navio é preferencialmente o núcleo de uma força de ataque nas fases de disputa, estabelecimento e exploração do Controle de Área Marítima (CAM)?",O Navio-Aeródromo (NAe).
O emprego de uma força de ataque apenas com navios de superfície é fortemente condicionado por qual fator?,Pelo grau de ameaça aérea e de submarinos.
Qual é a principal capacitação dos submarinos em áreas controladas pelo inimigo?,"São as unidades navais capacitadas para operar em áreas onde o inimigo exerce algum grau de controle, negando o uso do mar e facilitando a atuação de outras forças."
O que é a Operação Antissubmarino?,"É a operação executada contra submarinos, visando negar ao inimigo o uso eficaz desses meios."
A Operação Antissubmarino pode ser dividida em dois grupos. Qual é o foco do primeiro grupo?,"Visa submarinos em trânsito ou posicionados em áreas onde se constituam ameaça potencial, mas não imediata."
Qual é o foco do segundo grupo de operações antissubmarino?,"Abrange operações contra submarinos com possibilidade de detectar, ou que já detectaram, as unidades navais ou um comboio a ser protegido."
O que é uma Operação Anfíbia (OpAnf)?,"É uma operação naval lançada do mar por uma Força-Tarefa Anfíbia (ForTarAnf) sobre uma região litorânea, com o propósito de introduzir uma Força de Desembarque (ForDbq) em terra."
Cite três das cinco modalidades de Operação Anfíbia.,"Assalto anfíbio, demonstração anfíbia, incursão anfíbia, projeção anfíbia e retirada anfíbia."
O que é um Assalto Anfíbio?,"É um ataque lançado do mar para, mediante um desembarque, estabelecer uma Força de Desembarque (ForDbq) em terra."
Qual é um dos efeitos desejados de um Assalto Anfíbio?,"Conquistar área de interesse para guerra naval/aérea, estabelecer base avançada, ou apoiar campanha terrestre."
Quais são as cinco fases de um Assalto Anfíbio?,"Planejamento, embarque, ensaio, travessia e assalto."
